sequence_id,label,video_id,environment_group_id,group_type,group_clip_count,group_labels,frame_count,training_frames,testing_frames
notflip__0025,notflip,0025,E02,multi_clip,9,flip|notflip,30,23,7
notflip__0026,notflip,0026,E02,multi_clip,9,flip|notflip,30,24,6
notflip__0027,notflip,0027,S29,singleton,1,notflip,30,23,7
notflip__0028,notflip,0028,E01,multi_clip,12,flip|notflip,30,28,2
notflip__0029,notflip,0029,E01,multi_clip,12,flip|notflip,30,21,9
notflip__0030,notflip,0030,S30,singleton,1,notflip,30,22,8
notflip__0031,notflip,0031,S31,singleton,1,notflip,30,22,8
notflip__0032,notflip,0032,E01,multi_clip,12,flip|notflip,30,24,6
notflip__0033,notflip,0033,S32,singleton,1,notflip,30,22,8
notflip__0034,notflip,0034,E13,multi_clip,3,notflip,30,26,4
notflip__0035,notflip,0035,E13,multi_clip,3,notflip,32,27,5
notflip__0036,notflip,0036,S33,singleton,1,notflip,30,22,8
notflip__0037,notflip,0037,E13,multi_clip,3,notflip,30,19,11
notflip__0038,notflip,0038,E01,multi_clip,12,flip|notflip,30,22,8
notflip__0039,notflip,0039,S34,singleton,1,notflip,30,27,3
notflip__0040,notflip,0040,E01,multi_clip,12,flip|notflip,30,20,10
notflip__0041,notflip,0041,E03,multi_clip,8,flip|notflip,37,26,11
notflip__0042,notflip,0042,E04,multi_clip,8,notflip,30,22,8
notflip__0043,notflip,0043,S35,singleton,1,notflip,30,27,3
notflip__0044,notflip,0044,E04,multi_clip,8,notflip,30,27,3
notflip__0045,notflip,0045,E04,multi_clip,8,notflip,30,21,9
notflip__0046,notflip,0046,E04,multi_clip,8,notflip,30,25,5
notflip__0047,notflip,0047,E04,multi_clip,8,notflip,30,25,5
notflip__0048,notflip,0048,E04,multi_clip,8,notflip,30,26,4
notflip__0049,notflip,0049,E04,multi_clip,8,notflip,30,23,7
notflip__0050,notflip,0050,S36,singleton,1,notflip,29,27,2
notflip__0051,notflip,0051,S37,singleton,1,notflip,30,27,3
notflip__0052,notflip,0052,S38,singleton,1,notflip,30,26,4
notflip__0053,notflip,0053,E09,multi_clip,4,flip|notflip,30,24,6
notflip__0054,notflip,0054,S39,singleton,1,notflip,30,26,4
notflip__0055,notflip,0055,E09,multi_clip,4,flip|notflip,30,27,3
notflip__0056,notflip,0056,S40,singleton,1,notflip,30,23,7
notflip__0057,notflip,0057,E04,multi_clip,8,notflip,30,25,5
notflip__0058,notflip,0058,E09,multi_clip,4,flip|notflip,30,23,7
