sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3,candidate_rank,component_id,review_page,review_row
flip__0028,flip__0029,flip,flip,0028,0029,0,0.0035896797198802233,0.004635963588953018,0.0088576078414917,0.018023256212472916,0.019592279568314552,0.01105379513633014,0.00707442888725129,0.017833456153279293,0.009874723655121593,0.0023581429624170967,0.009263080324244657,2,1,1,11,C06,2,3
notflip__0044,notflip__0049,notflip,notflip,0044,0049,0,0.0019515752792358398,0.0021706100087612867,0.007301688194274902,0.022385619580745697,0.027819275856018066,0.0020633750921149594,0.0011790714812085483,0.01296978629329403,0.02593957258658806,0.00899042004421518,0.010117907148120855,2,2,1,12,C15,2,4
flip__0065,notflip__0058,flip,notflip,0065,0058,0,0.004306515213102102,0.003941623028367758,0.011682689189910889,0.0088425287976861,0.014015977270901203,0.018717759764185705,0.004421518054532056,0.027855563743551952,0.0,0.0004421518054532056,0.010346352247605013,1,1,1,13,C12,2,5
notflip__0045,notflip__0047,notflip,notflip,0045,0047,0,0.0052273771725595,0.0007495172321796417,0.0024202466011047363,0.01769265905022621,0.013808485120534897,0.02800294767870302,0.0,0.0010316875460574797,0.00899042004421518,0.0002947678703021371,0.010427413411938098,2,2,1,14,C15,2,6
notflip__0024,notflip__0025,notflip,notflip,0024,0025,0,0.005688654724508524,0.0036404256243258715,0.0020979642868041992,0.01411688607186079,0.013154891319572926,0.03168754605747973,0.0036845983787767134,0.0007369196757553427,0.0030950626381724394,0.00014738393515106854,0.010641120117907148,2,2,1,15,C05,2,7
notflip__0044,notflip__0047,notflip,notflip,0044,0047,0,0.0025311012286692858,0.0011510848999023438,0.010979831218719482,0.022248821333050728,0.02436455897986889,0.004421518054532056,0.00014738393515106854,0.026529108327192335,0.02520265291083272,0.004568901989683125,0.011503316138540899,3,3,1,16,C15,2,8
flip__0018,flip__0019,flip,flip,0018,0019,0,0.002126735867932439,0.013078664429485798,0.009285986423492432,0.017103662714362144,0.024888478219509125,0.0026529108327192335,0.06175386882829772,0.019012527634487842,0.0075165806927044955,0.005305821665438467,0.012652910832719234,1,1,1,17,C03,3,1
flip__0012,flip__0013,flip,flip,0012,0013,0,0.00520161772146821,0.005093907471746206,0.006290614604949951,0.018300652503967285,0.021293701604008675,0.027413411938098747,0.00899042004421518,0.009727339719970524,0.010759027266028003,0.0026529108327192335,0.01339719970523213,2,1,1,18,C02,3,2
notflip__0055,notflip__0058,notflip,notflip,0055,0058,0,0.002473011612892151,0.008711759932339191,0.0029920339584350586,0.025022799149155617,0.023005498573184013,0.004126750184229919,0.028739867354458364,0.0016212232866617538,0.04185703758290346,0.003831982313927782,0.013684598378776712,1,2,1,19,C12,3,3
flip__0029,notflip__0019,flip,notflip,0029,0019,0,0.0035259847063571215,0.0059973872266709805,0.011982321739196777,0.022104421630501747,0.02484697476029396,0.010759027266028003,0.012822402358142962,0.02829771554900516,0.02431834929992631,0.005158437730287398,0.014907885040530582,2,2,1,20,C06,3,4
notflip__0042,notflip__0049,notflip,notflip,0042,0049,0,0.005750124808400869,0.0058142333291471004,0.003986656665802002,0.01968764327466488,0.020915033295750618,0.032571849668386145,0.01208548268238762,0.004568901989683125,0.015033161385408991,0.002505526897568165,0.015298452468680914,3,3,1,21,C15,3,5
notflip__0019,notflip__0020,notflip,notflip,0019,0020,0,0.0038521464448422194,0.0032190855126827955,0.02414602041244507,0.01246390026062727,0.022092541679739952,0.012527634487840826,0.0026529108327192335,0.06985998526160649,0.0017686072218128224,0.0032424465733235075,0.015666912306558586,3,1,1,22,C06,3,6
notflip__0046,notflip__0048,notflip,notflip,0046,0048,0,0.0062139383517205715,0.0038609355688095093,0.007746279239654541,0.017707860097289085,0.01852370612323284,0.03876197494473103,0.00397936624907885,0.015033161385408991,0.00913780397936625,0.0017686072218128224,0.016551215917464997,3,3,1,23,C15,3,7
flip__0037,notflip__0029,flip,notflip,0037,0029,0,0.005209291819483042,0.010444669984281063,0.007959306240081787,0.013383492827415466,0.02581699565052986,0.027560795873249815,0.040530582166543844,0.016212232866617538,0.002210759027266028,0.006190125276344879,0.016742815033161385,1,1,1,24,C07,3,8
notflip__0004,notflip__0005,notflip,notflip,0004,0005,0,0.0026180942077189684,0.013914396055042744,0.0062392354011535645,0.022834016010165215,0.02570287324488163,0.00501105379513633,0.06985998526160649,0.009432571849668387,0.028592483419307296,0.0058953574060427415,0.01709653647752395,1,1,1,25,C13,4,1
flip__0026,flip__0027,flip,flip,0026,0027,0,0.005600377917289734,0.004038237035274506,0.014476537704467773,0.013915488496422768,0.028089012950658798,0.031098010316875462,0.005305821665438467,0.036993367722918204,0.002800294767870302,0.009579955784819455,0.01836403831982314,1,1,1,26,C04,4,2
flip__0035,flip__0046,flip,flip,0035,0046,0,0.0051424577832221985,0.004465884063392878,0.018046796321868896,0.01680726557970047,0.02451498992741108,0.026381724392041266,0.006632277081798084,0.051584377302873984,0.00707442888725129,0.004716285924834193,0.018909358879882092,1,1,1,27,C07,4,3
flip__0036,notflip__0028,flip,notflip,0036,0028,0,0.005034342408180237,0.009012319147586823,0.019489645957946777,0.010495515540242195,0.019530033692717552,0.02535003684598379,0.030950626381724394,0.05630066322770818,0.0008843036109064112,0.002210759027266028,0.019874723655121593,1,1,1,28,C07,4,4
flip__0016,flip__0019,flip,flip,0016,0019,0,0.0026553794741630554,0.006329772528260946,0.023545026779174805,0.021352028474211693,0.029935678467154503,0.005305821665438467,0.014885777450257922,0.06868091378039794,0.019012527634487842,0.014443625644804716,0.02079587324981577,1,2,1,29,C03,4,5
flip__0028,notflip__0020,flip,notflip,0028,0020,0,0.002762695075944066,0.007780235260725021,0.02564263343811035,0.01944064348936081,0.029256146401166916,0.0058953574060427415,0.02210759027266028,0.07457627118644068,0.013706705969049373,0.012822402358142962,0.02111274871039057,3,2,1,30,C06,4,6
notflip__0038,notflip__0040,notflip,notflip,0038,0040,0,0.006733653601258993,0.002603524597361684,0.013576745986938477,0.015408876352012157,0.023057369515299797,0.04613117170228445,0.0020633750921149594,0.034635224760501106,0.0042741341193809875,0.004126750184229919,0.021127487103905676,1,1,1,31,C07,4,7
flip__0065,notflip__0055,flip,notflip,0065,0055,0,0.0018335034837946296,0.012557771988213062,0.01200038194656372,0.025300197303295135,0.02686482109129429,0.001915991156963891,0.05836403831982314,0.028445099484156227,0.043625644804716285,0.0075165806927044955,0.021282240235814296,2,2,1,32,C12,4,8
notflip__0029,notflip__0040,notflip,notflip,0029,0040,0,0.0056476891040802,0.009049073792994022,0.005021214485168457,0.022868216037750244,0.02909015491604805,0.031392778187177596,0.031392778187177596,0.006337509211495947,0.028887251289609433,0.011938098747236552,0.022269712601326454,2,2,1,33,C07,5,1
flip__0035,flip__0037,flip,flip,0035,0037,0,0.0023652787785977125,0.019507458433508873,0.005265593528747559,0.022210821509361267,0.024691356346011162,0.003831982313927782,0.14163596168017686,0.007369196757553427,0.024907885040530583,0.004863669859985262,0.02261606484893147,2,2,1,34,C07,5,2
flip__0031,notflip__0023,flip,notflip,0031,0023,0,0.005887525621801615,0.004053437616676092,0.01986527442932129,0.015298677608370781,0.028369126841425896,0.034635224760501106,0.005747973470891673,0.05747973470891673,0.004126750184229919,0.01002210759027266,0.022918201915991157,1,2,1,35,C05,5,3
flip__0020,flip__0021,flip,flip,0020,0021,0,0.004634737968444824,0.0110722491517663,0.008687317371368408,0.022134823724627495,0.03223882243037224,0.021812822402358142,0.04509948415622697,0.017391304347826087,0.024613117170228446,0.019454679439941048,0.023448784082535007,1,1,1,36,C03,5,4
notflip__0029,notflip__0038,notflip,notflip,0029,0038,0,0.001223591505549848,0.007881266064941883,0.007911145687103271,0.026983587071299553,0.035942528396844864,0.0002947678703021371,0.02328666175386883,0.015770081061164332,0.05615327929255711,0.03021370670596905,0.023566691230655856,3,2,1,37,C07,5,5
flip__0043,flip__0046,flip,flip,0043,0046,0,0.006560427602380514,0.007118834648281336,0.007262766361236572,0.022655416280031204,0.026418715715408325,0.04377302873986735,0.018570375829034636,0.012822402358142962,0.027413411938098747,0.006484893146647015,0.024016212232866617,1,2,1,38,C07,5,6
flip__0045,flip__0046,flip,flip,0045,0046,0,0.00802538264542818,0.004594825208187103,0.008768916130065918,0.012418300844728947,0.01785973645746708,0.06691230655858511,0.006927044952100221,0.017686072218128224,0.0016212232866617538,0.0016212232866617538,0.024148857774502576,1,3,1,39,C07,5,7
notflip__0024,notflip__0026,notflip,notflip,0024,0026,0,0.008039374835789204,0.006208141800016165,0.0021777749061584473,0.018125856295228004,0.017589997500181198,0.06764922623434046,0.01400147383935151,0.0008843036109064112,0.010611643330876934,0.0014738393515106854,0.02431834929992631,3,2,1,40,C05,5,8
flip__0035,flip__0043,flip,flip,0035,0043,0,0.006913905497640371,0.006871074438095093,0.007092893123626709,0.02130642719566822,0.028286129236221313,0.04937361827560796,0.017391304347826087,0.011938098747236552,0.018422991893883568,0.009874723655121593,0.024495210022107586,3,2,1,41,C07,6,1
flip__0024,flip__0032,flip,flip,0024,0032,0,0.0061406767927110195,0.007989384233951569,0.005617380142211914,0.02348381280899048,0.031704533845186234,0.037877671333824615,0.023876197494473103,0.008400884303610906,0.03212969786293294,0.018422991893883568,0.02604274134119381,2,1,1,42,C05,6,2
flip__0003,flip__0005,flip,flip,0003,0005,0,0.001166095375083387,0.015884017571806908,0.00793755054473877,0.025543395429849625,0.035029567778110504,0.00014738393515106854,0.09064112011790715,0.0159174649963154,0.045689019896831246,0.02711864406779661,0.02741341193809875,1,1,1,43,C01,6,3
flip__0023,flip__0026,flip,flip,0023,0026,0,0.003942278679460287,0.01666806824505329,0.016715407371520996,0.016586868092417717,0.03270048648118973,0.01400147383935151,0.10243183492999262,0.046720707442888726,0.006632277081798084,0.021223286661753868,0.028084008843036107,1,2,1,44,C04,6,4
flip__0037,notflip__0038,flip,notflip,0037,0038,0,0.004123327787965536,0.013886489905416965,0.015578210353851318,0.02499999850988388,0.027212364599108696,0.016801768607221813,0.06971260132645542,0.04112011790714812,0.04126750184229919,0.007811348563006633,0.0283861459100958,3,3,1,45,C07,6,5
notflip__0023,notflip__0025,notflip,notflip,0023,0025,0,0.008062493987381458,0.007826484739780426,0.0030128955841064453,0.02175862528383732,0.026029672473669052,0.06809137803979366,0.022549742078113486,0.0017686072218128224,0.02210759027266028,0.006337509211495947,0.028953574060427412,3,3,1,46,C05,6,6
notflip__0028,notflip__0032,notflip,notflip,0028,0032,0,0.005592381116002798,0.009294611401855946,0.01608484983444214,0.022549020126461983,0.03186533600091934,0.030803242446573325,0.032719233603537214,0.04333087693441415,0.026823876197494472,0.019012527634487842,0.029130434782608697,2,1,1,47,C07,6,7
flip__0029,notflip__0020,flip,notflip,0029,0020,0,0.005788892507553101,0.008634974248707294,0.022018134593963623,0.021739626303315163,0.029147213324904442,0.03330876934414149,0.02815033161385409,0.06352247605011054,0.021812822402358142,0.01208548268238762,0.02971997052321297,3,3,1,48,C06,6,8
notflip__0005,notflip__0008,notflip,notflip,0005,0008,0,0.0062128403224051,0.0028497104067355394,0.016163408756256104,0.02383720874786377,0.0325915552675724,0.03861459100957996,0.002505526897568165,0.04392041267501842,0.03330876934414149,0.020486366985998525,0.030206337509211492,2,1,1,49,C13,7,1
flip__0051,flip__0055,flip,flip,0051,0055,0,0.003174819052219391,0.014531654305756092,0.009292423725128174,0.02686958573758602,0.034505654126405716,0.008106116433308769,0.0754605747973471,0.01915991156963891,0.05512159174649963,0.025644804716285923,0.030287398673544585,1,1,1,50,C11,7,2
flip__0043,flip__0045,flip,flip,0043,0045,0,0.0053552561439573765,0.010255075059831142,0.025335848331451416,0.02342301234602928,0.024919597432017326,0.028887251289609433,0.039056742815033164,0.0735445836403832,0.031540162122328665,0.005453205600589536,0.03127487103905675,3,2,1,51,C07,7,3
flip__0025,flip__0033,flip,flip,0025,0033,0,0.005812885705381632,0.014396670274436474,0.010652542114257812,0.019577443599700928,0.036341942846775055,0.03389830508474576,0.07339719970523213,0.024907885040530583,0.01414885777450258,0.032424465733235076,0.03218128224023581,1,2,1,52,C05,7,4
flip__0049,flip__0057,flip,flip,0049,0057,0,0.005072819534689188,0.0041742101311683655,0.00646740198135376,0.030057759955525398,0.03420998156070709,0.025497420781134858,0.006190125276344879,0.010169491525423728,0.0847457627118644,0.024907885040530583,0.03296978629329403,1,1,1,53,C09,7,5
flip__0025,flip__0031,flip,flip,0025,0031,0,0.005152123514562845,0.012710637412965298,0.009608566761016846,0.025661194697022438,0.036160387098789215,0.026529108327192335,0.05969049373618276,0.020486366985998525,0.046720707442888726,0.031392778187177596,0.0341930729550479,2,3,1,54,C05,7,6
flip__0032,flip__0033,flip,flip,0032,0033,0,0.00811051856726408,0.008231050334870815,0.007179379463195801,0.022134823724627495,0.03129474073648453,0.06912306558585114,0.025055268975681652,0.012380250552689757,0.024465733235077378,0.017833456153279293,0.03445099484156227,2,3,1,55,C05,7,7
flip__0036,flip__0039,flip,flip,0036,0039,0,0.004345411900430918,0.007175630424171686,0.01025533676147461,0.026991182938218117,0.04045544192194939,0.01930729550478998,0.018865143699336773,0.022844509948415623,0.05630066322770818,0.04937361827560796,0.03470891672807665,2,1,1,56,C07,7,8
flip__0061,flip__0062,flip,flip,0061,0062,0,0.006543839816004038,0.017656562849879265,0.005665898323059082,0.022313421592116356,0.031180618330836296,0.043478260869565216,0.11495946941783346,0.008548268238761975,0.025644804716285923,0.01724392041267502,0.03526160648489315,1,1,1,57,C11,8,1
flip__0016,flip__0017,flip,flip,0016,0017,0,0.004631223622709513,0.008850060403347015,0.0102921724319458,0.02658458799123764,0.04048137739300728,0.021665438467207074,0.030066322770817982,0.02299189388356669,0.05217391304347826,0.04952100221075903,0.03577008106116433,2,1,1,58,C03,8,2
flip__0053,flip__0055,flip,flip,0053,0055,0,0.008585597388446331,0.016285093501210213,0.004509627819061279,0.017419060692191124,0.02658470906317234,0.0754605747973471,0.09565217391304348,0.005305821665438467,0.008253500368459838,0.006632277081798084,0.03630803242446574,1,2,1,59,C11,8,3
notflip__0035,notflip__0037,notflip,notflip,0035,0037,0,0.006679758429527283,0.011422156356275082,0.01633000373840332,0.02404620684683323,0.03064114786684513,0.04554163596168018,0.04819454679439941,0.0449521002210759,0.03610906411201179,0.0159174649963154,0.03642593957258659,1,1,1,60,C14,8,4
notflip__0034,notflip__0035,notflip,notflip,0034,0035,0,0.006320772226899862,0.003900449723005295,0.009622573852539062,0.029236963018774986,0.03388836979866028,0.040383198231392775,0.0042741341193809875,0.020781134856300662,0.07605011053795137,0.02417096536477524,0.036912306558585115,1,2,1,61,C14,8,5
flip__0056,flip__0057,flip,flip,0056,0057,0,0.0025091494899243116,0.01647886075079441,0.03144729137420654,0.022777017205953598,0.035019196569919586,0.0042741341193809875,0.09918938835666913,0.09624170965364776,0.027855563743551952,0.02697126013264554,0.03795136330140015,2,2,1,62,C09,8,6
flip__0005,flip__0008,flip,flip,0005,0008,0,0.00291820359416306,0.014822252094745636,0.02152186632156372,0.02686958573758602,0.036279693245887756,0.006484893146647015,0.07855563743551953,0.06160648489314665,0.05482682387619749,0.03198231392778187,0.03800294767870303,2,1,1,63,C01,8,7
notflip__0053,notflip__0055,notflip,notflip,0053,0055,0,0.00327802705578506,0.005646926816552877,0.00440824031829834,0.03006915934383869,0.0446208119392395,0.008843036109064112,0.011348563006632277,0.005158437730287398,0.08489314664701547,0.06764922623434046,0.03845246868091378,1,3,1,64,C12,8,8
flip__0019,flip__0021,flip,flip,0019,0021,0,0.0063645243644714355,0.004959829151630402,0.013641893863677979,0.02700258605182171,0.037166718393564224,0.04082535003684598,0.008548268238761975,0.03492999263080324,0.05644804716285925,0.03537214443625645,0.03847457627118644,3,2,1,65,C03,9,1
flip__0050,flip__0058,flip,flip,0050,0058,0,0.0037202786188572645,0.012503314763307571,0.015929758548736572,0.03035035729408264,0.03382612392306328,0.01208548268238762,0.0576271186440678,0.04288872512896094,0.08798820928518791,0.024023581429624172,0.039425202652910836,1,1,1,66,C10,9,2
flip__0051,flip__0054,flip,flip,0051,0054,0,0.005535242613404989,0.019323201850056648,0.007204890251159668,0.027648579329252243,0.028488431125879288,0.03021370670596905,0.1386882829771555,0.012527634487840826,0.061016949152542375,0.010611643330876934,0.0396683861459101,2,1,1,67,C11,9,3
flip__0054,flip__0059,flip,flip,0054,0059,0,0.005330982152372599,0.00856925081461668,0.01088494062423706,0.03062775731086731,0.03507625311613083,0.028445099484156227,0.027708179808400884,0.025792188651436992,0.09108327192336035,0.027413411938098747,0.04024318349299927,2,1,1,68,C11,9,4
flip__0003,notflip__0001,flip,notflip,0003,0001,0,0.00615537166595459,0.005556263029575348,0.029693424701690674,0.026500988751649857,0.03268492594361305,0.038025055268975684,0.010759027266028003,0.09167280766396463,0.051289609432571846,0.02092851879145173,0.04172439204126751,2,1,1,69,C01,9,5
flip__0059,flip__0061,flip,flip,0059,0061,0,0.008271045982837677,0.006294766906648874,0.02703535556793213,0.02292521856725216,0.02823425643146038,0.07221812822402358,0.014443625644804716,0.08091378039793662,0.0290346352247605,0.009727339719970524,0.04348563006632277,2,2,1,70,C11,9,6
flip__0003,flip__0007,flip,flip,0003,0007,0,0.004520883318036795,0.006240950431674719,0.03656250238418579,0.026166589930653572,0.03745720535516739,0.020781134856300662,0.01414885777450258,0.11319086219602063,0.04981577008106117,0.036845983787767135,0.04380250552689757,3,1,1,71,C01,9,7
flip__0016,flip__0018,flip,flip,0016,0018,0,0.0042089917697012424,0.016229553148150444,0.024197161197662354,0.023582611232995987,0.04025832563638687,0.01798084008843036,0.09447310243183493,0.07015475313190862,0.032424465733235076,0.04863669859985262,0.044008843036109066,3,2,1,72,C03,9,8
flip__0039,notflip__0032,flip,notflip,0039,0032,0,0.006737326737493277,0.021479705348610878,0.021654725074768066,0.01965724304318428,0.02771553210914135,0.04627855563743552,0.16683861459100957,0.06234340456890199,0.014885777450257922,0.008548268238761975,0.04503316138540899,3,2,1,73,C07,10,1
flip__0024,flip__0025,flip,flip,0024,0025,0,0.007782727479934692,0.0200326107442379,0.010315656661987305,0.016586868092417717,0.03547567501664162,0.06160648489314665,0.1485630066322771,0.02328666175386883,0.006779661016949152,0.028592483419307296,0.045335298452468684,3,3,1,74,C05,10,2
notflip__0028,notflip__0040,notflip,notflip,0028,0040,0,0.006293115671724081,0.024869665503501892,0.007540643215179443,0.016898464411497116,0.03620188683271408,0.03964627855563744,0.22564480471628592,0.013706705969049373,0.007221812822402358,0.031540162122328665,0.04584377302873987,3,3,1,75,C07,10,3
flip__0059,notflip__0041,flip,notflip,0059,0041,0,0.0038802872877568007,0.011562821455299854,0.025232911109924316,0.03170694783329964,0.033592697232961655,0.01296978629329403,0.04937361827560796,0.07324981577008106,0.1021370670596905,0.02328666175386883,0.04606484893146647,3,1,1,76,C11,10,4
flip__0005,flip__0007,flip,flip,0005,0007,0,0.004118978977203369,0.009841452352702618,0.051950693130493164,0.023605410009622574,0.03442265838384628,0.016654384672070744,0.03625644804716286,0.16551215917464995,0.032571849668386145,0.02520265291083272,0.0462638172439204,3,2,1,77,C01,10,5
flip__0038,flip__0047,flip,flip,0038,0047,0,0.006576967891305685,0.013327629305422306,0.019797205924987793,0.02693038433790207,0.03574022278189659,0.04406779661016949,0.0636698599852616,0.05718496683861459,0.055858511422254974,0.029476787030213707,0.04670596904937362,3,1,1,78,C08,10,6
flip__0054,flip__0055,flip,flip,0054,0055,0,0.008623595349490643,0.01668187603354454,0.015465915203094482,0.021823225542902946,0.02930801920592785,0.07619749447310244,0.10257921886514369,0.040383198231392775,0.022402358142962417,0.013117170228445099,0.046934414148857774,3,3,1,79,C11,10,7
notflip__0004,notflip__0008,notflip,notflip,0004,0008,0,0.00558885931968689,0.013245400972664356,0.023114025592803955,0.028674572706222534,0.03681917116045952,0.03036109064112012,0.06263817243920412,0.06720707442888725,0.07059690493736183,0.033750921149594694,0.048010316875460576,2,2,1,80,C13,10,8
flip__0013,flip__0022,flip,flip,0013,0022,0,0.007426949683576822,0.007454320788383484,0.009830474853515625,0.028245175257325172,0.041342463344335556,0.0552689756816507,0.020486366985998525,0.0210759027266028,0.06617538688282977,0.05320560058953574,0.04832719233603537,2,2,1,81,C02,11,1
flip__0052,flip__0064,flip,flip,0052,0064,0,0.005670284386724234,0.024020256474614143,0.014522433280944824,0.025615595281124115,0.031128747388720512,0.031540162122328665,0.20899042004421517,0.03714075165806927,0.04642593957258659,0.016801768607221813,0.049417833456153276,2,1,1,82,C09,11,2
