split,label,video_id,frame_count,unique_frame_count,min_frame,max_frame,span,missing_frame_count_inside_span
training,flip,0023,14,14,3,25,23,9
training,flip,0024,9,9,16,27,12,3
training,flip,0025,11,11,4,14,11,0
training,flip,0026,12,12,8,22,15,3
training,flip,0027,7,7,11,20,10,3
training,flip,0028,25,25,1,28,28,3
training,flip,0029,16,16,1,28,28,12
training,flip,0030,30,30,1,37,37,7
training,flip,0031,12,12,14,27,14,2
training,flip,0032,8,8,11,18,8,0
training,flip,0033,9,9,17,26,10,1
training,flip,0034,8,8,17,27,11,3
training,flip,0035,13,13,8,22,15,2
training,flip,0036,14,14,10,27,18,4
training,flip,0037,18,18,2,27,26,8
training,flip,0038,34,34,4,49,46,12
training,flip,0039,20,20,8,28,21,1
training,flip,0040,21,21,6,30,25,4
training,flip,0041,13,13,11,29,19,6
training,flip,0042,24,24,1,30,30,6
training,flip,0043,8,8,16,24,9,1
training,flip,0044,22,22,4,29,26,4
training,flip,0045,23,23,7,30,24,1
training,flip,0046,13,13,7,27,21,8
training,flip,0047,21,21,6,30,25,4
training,flip,0048,20,20,9,30,22,2
training,flip,0049,9,9,18,30,13,4
training,flip,0050,12,12,17,30,14,2
training,flip,0051,14,14,12,27,16,2
training,flip,0052,14,14,13,29,17,3
training,flip,0053,26,26,1,30,30,4
training,flip,0054,16,16,8,29,22,6
training,flip,0055,16,16,11,30,20,4
training,flip,0056,15,15,14,29,16,1
training,flip,0057,18,18,11,29,19,1
training,flip,0058,23,23,1,29,29,6
training,flip,0059,25,25,1,30,30,5
training,flip,0060,43,43,1,54,54,11
training,flip,0061,16,16,9,30,22,6
training,flip,0062,22,22,1,30,30,8
training,flip,0063,11,11,10,22,13,2
training,flip,0064,10,10,19,29,11,1
training,flip,0065,23,23,2,29,28,5
training,notflip,0001,25,25,1,30,30,5
training,notflip,0002,22,22,1,30,30,8
training,notflip,0003,26,26,1,29,29,3
training,notflip,0004,26,26,1,35,35,9
training,notflip,0005,25,25,1,30,30,5
training,notflip,0006,20,20,1,30,30,10
training,notflip,0007,28,28,1,30,30,2
training,notflip,0008,24,24,1,30,30,6
training,notflip,0009,22,22,1,30,30,8
training,notflip,0010,27,27,1,30,30,3
training,notflip,0011,27,27,1,30,30,3
training,notflip,0015,24,24,1,30,30,6
training,notflip,0016,20,20,2,24,23,3
training,notflip,0019,23,23,1,30,30,7
training,notflip,0020,17,17,1,21,21,4
training,notflip,0021,6,6,7,27,21,15
training,notflip,0023,25,25,1,28,28,3
training,notflip,0024,21,21,1,30,30,9
training,notflip,0025,23,23,1,30,30,7
training,notflip,0026,24,24,1,30,30,6
training,notflip,0027,23,23,2,30,29,6
training,notflip,0028,28,28,1,30,30,2
training,notflip,0029,21,21,2,30,29,8
training,notflip,0030,22,22,2,30,29,7
training,notflip,0031,22,22,1,30,30,8
training,notflip,0032,24,24,1,30,30,6
training,notflip,0033,22,22,1,30,30,8
training,notflip,0034,26,26,1,29,29,3
training,notflip,0035,27,27,1,32,32,5
training,notflip,0036,22,22,2,29,28,6
training,notflip,0037,19,19,1,30,30,11
training,notflip,0038,22,22,1,30,30,8
training,notflip,0039,27,27,1,30,30,3
training,notflip,0040,20,20,1,30,30,10
training,notflip,0041,26,26,2,37,36,10
training,notflip,0042,22,22,2,29,28,6
training,notflip,0043,27,27,1,30,30,3
training,notflip,0044,27,27,1,30,30,3
training,notflip,0045,21,21,1,29,29,8
training,notflip,0046,25,25,1,30,30,5
training,notflip,0047,25,25,1,30,30,5
training,notflip,0048,26,26,1,29,29,3
training,notflip,0049,23,23,1,30,30,7
training,notflip,0050,27,27,1,29,29,2
training,notflip,0051,27,27,1,30,30,3
training,notflip,0052,26,26,1,30,30,4
training,notflip,0053,24,24,2,30,29,5
training,notflip,0054,26,26,1,30,30,4
training,notflip,0055,27,27,1,30,30,3
training,notflip,0056,23,23,1,30,30,7
training,notflip,0057,25,25,1,30,30,5
training,notflip,0058,23,23,1,30,30,7
