sequence_id,label,video_id,sequence_position,frame_num,supplied_split,path,sha256,environment_group_id,d2_split,dedup_group_id,dedup_role,dedup_keep,d3_split
flip__0001,flip,0001,13,23,training,training/flip/0001_000000023.jpg,0165869575c3ecb27c142e994359982dce9258610cbb69e9cfda4c2385b75689,S01,test,,unique,1,training
flip__0001,flip,0001,14,24,training,training/flip/0001_000000024.jpg,d11b795dc921dccfd034c58c77fe62b119324539da7b2a833f36df010592c94f,S01,test,,unique,1,training
flip__0001,flip,0001,15,25,training,training/flip/0001_000000025.jpg,3eb5b92f154306656e91cf87843104f2031da120300b8d9a92174540604382f3,S01,test,,unique,1,training
flip__0002,flip,0002,0,9,training,training/flip/0002_000000009.jpg,7604fde4353f842e8b5a9bad25ca6559d9f74c9d69c58682349c2a4214437df7,S02,test,,unique,1,training
flip__0002,flip,0002,1,10,training,training/flip/0002_000000010.jpg,1b91be3decfc01603fc4cdccad9ce51985a0a1bf0419d85814338bcbf2adeefe,S02,test,,unique,1,training
flip__0002,flip,0002,2,11,training,training/flip/0002_000000011.jpg,2f7ea4240c9170fce3d740432d188a8db660d1f98f9a8382d0f0e77207e0b815,S02,test,,unique,1,training
flip__0002,flip,0002,3,12,testing,testing/flip/0002_000000012.jpg,2e8497d9f766c82d2d040965bbdc767713489200267f6d6c0d560ff5c61a088f,S02,test,,unique,1,testing
flip__0002,flip,0002,4,13,testing,testing/flip/0002_000000013.jpg,2d2c65d4ee6dea6a3b0fd86517d30c927e8cca5f9b078cc08bd05a29a57c8cfd,S02,test,,unique,1,testing
flip__0002,flip,0002,5,14,training,training/flip/0002_000000014.jpg,f012145b1d7801ce5d6ac265317eea1dbe365e994a03a7df4d148cb3641842ef,S02,test,,unique,1,training
flip__0002,flip,0002,6,15,testing,testing/flip/0002_000000015.jpg,4813ad96486cb9fb0944061e6bd35edd49945b9379405d739738cac6d4d7ed55,S02,test,,unique,1,testing
flip__0002,flip,0002,7,16,training,training/flip/0002_000000016.jpg,4fe86564e0438c7491136b86cdb6b75e4e03da70dbd0a6f5387d31185e10e16d,S02,test,,unique,1,training
flip__0002,flip,0002,8,17,testing,testing/flip/0002_000000017.jpg,a743a9ece0aeb115916ae5867ae0f75dfc323bc98d4a5ec976ae7cd65816d118,S02,test,,unique,1,testing
flip__0002,flip,0002,9,18,training,training/flip/0002_000000018.jpg,0542cd04bd09db74935888f6da392c7471aa7c40e8b0ff547cb2f5f1864cf91a,S02,test,,unique,1,training
flip__0002,flip,0002,10,19,training,training/flip/0002_000000019.jpg,fffde2b68b4ba138456a35bad791647476c9693a043559ca4c2f4041dec16b05,S02,test,,unique,1,training
flip__0002,flip,0002,11,20,training,training/flip/0002_000000020.jpg,d7b296e0fefe6643f53c89b4b37829a0f579c0a7e466df8d17de7b68bf03e3fc,S02,test,,unique,1,training
flip__0002,flip,0002,12,21,training,training/flip/0002_000000021.jpg,b1c916e33745a28ecf5777f3b6ae00c36d5a90e9dea13ac485c0d961ad3175d9,S02,test,,unique,1,training
flip__0003,flip,0003,0,1,training,training/flip/0003_000000001.jpg,1abb370f9be20c7d87e41d268ca85d87d9ef97a6f141ebe6caa50d731dbcdcfc,E06,train,117,representative,1,training
flip__0003,flip,0003,3,4,training,training/flip/0003_000000004.jpg,4b168861d396f293a6d1a3d5b0fc5e08ab68aa2d1b834cf6278eaf9bc8b34d18,E06,train,98,representative,1,training
flip__0003,flip,0003,6,7,training,training/flip/0003_000000007.jpg,661111a8e1ca2d4954cad7a7792af23821ccbda610c934e21c9d3f4bbcb63cc7,E06,train,62,representative,1,training
flip__0003,flip,0003,12,13,training,training/flip/0003_000000013.jpg,b0783e95a335dd19ddc928f04eaafcd21c13893db730d3c1ae42227b4742a4f9,E06,train,,unique,1,training
flip__0003,flip,0003,13,14,training,training/flip/0003_000000014.jpg,1a5ce43b7ec5b43d93a5c626fe07d449451c9d5bbbd56446d50d4a91b9f20349,E06,train,,unique,1,training
flip__0003,flip,0003,14,15,training,training/flip/0003_000000015.jpg,d3690a083614ee4f9254af14f2db97a98ce0685f79e00012e44e0baf3dc31847,E06,train,,unique,1,training
flip__0003,flip,0003,15,16,training,training/flip/0003_000000016.jpg,1626aff52770101f621afbbc38f99df71af99c15163299fdc8f241949f71b777,E06,train,,unique,1,training
flip__0003,flip,0003,16,17,training,training/flip/0003_000000017.jpg,30702b97463b25afbff8ef62a290e41427750cb8a34a4bf867acfefe7477dd20,E06,train,,unique,1,training
flip__0003,flip,0003,17,18,training,training/flip/0003_000000018.jpg,65a388060eceb11086fa5b120585fea8435d3553c19c1598a07dbd3029f2efcc,E06,train,,unique,1,training
flip__0003,flip,0003,18,19,training,training/flip/0003_000000019.jpg,4051d85c68c2c5418be30196e1446d7d1c775f1e829032340d1f77c60c5ceb5b,E06,train,,unique,1,training
flip__0003,flip,0003,19,20,training,training/flip/0003_000000020.jpg,74e8c0e1ea72349df5075db86e6b5e75bf23edb18657200407c56d046829879c,E06,train,,unique,1,training
flip__0003,flip,0003,20,21,training,training/flip/0003_000000021.jpg,e2469aa5e8bac655dfc273127e997387a0dcc27681e6fbdaf86c23c8bfa95c9e,E06,train,,unique,1,training
flip__0003,flip,0003,21,22,testing,testing/flip/0003_000000022.jpg,a045a4f2ae1b2fc0b56b5e30750c8128de5874fe9a33d202b6d2b086c1babfb5,E06,train,,unique,1,testing
flip__0003,flip,0003,22,23,training,training/flip/0003_000000023.jpg,012d5132587d62cf51ca51812479f1d30237e380cea89b7a7e41cee714549a19,E06,train,,unique,1,training
flip__0003,flip,0003,23,24,training,training/flip/0003_000000024.jpg,ad3eda9b65441b8c0851361a787b0ce833f17691d83483aaf0e78b7b8796e4ca,E06,train,,unique,1,training
flip__0003,flip,0003,24,25,testing,testing/flip/0003_000000025.jpg,5321c8dabb5e1831472b2e271c209e9d009be0fa454769cd0a83f8f41ea1f228,E06,train,,unique,1,testing
flip__0003,flip,0003,25,26,training,training/flip/0003_000000026.jpg,93c2273e40095a2d16634f32aa4139faed33655c010257bed5d1abae8963787e,E06,train,,unique,1,training
flip__0004,flip,0004,0,5,training,training/flip/0004_000000005.jpg,b15b8dbbe7376031be56e9de68e20840b6a9beded9dccbafb38e6868ffe47b4a,S03,train,99,representative,1,training
flip__0004,flip,0004,3,8,training,training/flip/0004_000000008.jpg,0354cf9fd06a08dea70829733d24ba68e719588bc5c240945426a9057ebf417c,S03,train,,unique,1,training
flip__0004,flip,0004,4,9,training,training/flip/0004_000000009.jpg,484fa61c51b3469717e86fd7d2f16fd981da22cb75dc607b588ef94f40dcabc0,S03,train,,unique,1,training
flip__0004,flip,0004,5,10,training,training/flip/0004_000000010.jpg,631088cf68bba67ac17d978422ae6ed444c1d86bed7b50a446668893650c922a,S03,train,,unique,1,training
flip__0004,flip,0004,6,11,training,training/flip/0004_000000011.jpg,4255208ffe1cf181867fc3b40968942f003327f91f31c276695aa1fd5fd5901b,S03,train,,unique,1,training
flip__0004,flip,0004,7,12,training,training/flip/0004_000000012.jpg,84891a2b1ff4bea5aec725ad66d00851dd2a29e73b2b6e52187a9e41b894ad4c,S03,train,,unique,1,training
flip__0004,flip,0004,8,13,testing,testing/flip/0004_000000013.jpg,bf1f1337b7a2d89313755f4cac1b7582a92efd55a214890448666b0009bb3403,S03,train,,unique,1,testing
flip__0004,flip,0004,9,14,testing,testing/flip/0004_000000014.jpg,79ac7ce8e4606e08d1c0e259ce943b8c4857252e20355a4a6a2d4cb54c8cb469,S03,train,,unique,1,testing
flip__0004,flip,0004,10,15,training,training/flip/0004_000000015.jpg,438259828e99661a31fe82b68335677ab7080c89c5ffe7ffa764abd91dabb663,S03,train,,unique,1,training
flip__0004,flip,0004,11,16,training,training/flip/0004_000000016.jpg,79ea7133d9dc2949f53896b65cd136dd8f1c0667292622b4476dafd486d00ed8,S03,train,,unique,1,training
flip__0004,flip,0004,12,17,training,training/flip/0004_000000017.jpg,5d08e87ec2e0ff70daeafa492539a2456157ecec4254e403afe2f0598584a4c2,S03,train,,unique,1,training
flip__0004,flip,0004,13,18,training,training/flip/0004_000000018.jpg,7278e4c886c8b407dbebd8194b59386247e9d86cb65b39bd4e8e9593da274687,S03,train,,unique,1,training
flip__0004,flip,0004,14,19,training,training/flip/0004_000000019.jpg,34b21e62f6b6913547b58929426fb0969e882bdb1da2d5c4e57fee3159e75bf1,S03,train,,unique,1,training
flip__0004,flip,0004,15,20,training,training/flip/0004_000000020.jpg,7c9a54ac9eaaca0183fedd8c796d44e4806f45dc49ed398743c079e15ca4402c,S03,train,,unique,1,training
flip__0004,flip,0004,16,21,training,training/flip/0004_000000021.jpg,f9acf18aa7bd7e76b1c0eb1e386f782783fb08bc267efe21143b69908cebef24,S03,train,,unique,1,training
flip__0004,flip,0004,17,22,training,training/flip/0004_000000022.jpg,1ecb3d5687fc9e3de214b5f66b254f7adcd95f1c70e52ac6bb4ad715f5466eae,S03,train,,unique,1,training
flip__0004,flip,0004,18,23,training,training/flip/0004_000000023.jpg,bc9d50492182801df1b1d8cd69ba3630d0505788eb464310fc511519552501be,S03,train,,unique,1,training
flip__0004,flip,0004,19,24,training,training/flip/0004_000000024.jpg,dc58bcbeab6eba8a3894ecb0dbe87050c7c8806ef65e043488807a7133bca151,S03,train,,unique,1,training
flip__0004,flip,0004,20,25,training,training/flip/0004_000000025.jpg,3cd28a288c0263000d5f2905970516caf6f4c95cef9339cdc5964def6222bc35,S03,train,,unique,1,training
flip__0004,flip,0004,21,26,training,training/flip/0004_000000026.jpg,16188a755198e53ceca561786255354900f14dd7794b03bddd74eb26e157cd37,S03,train,,unique,1,training
flip__0004,flip,0004,22,27,testing,testing/flip/0004_000000027.jpg,92279f524bf950bced84fa38f37998cef09dc498a9f5f564309eee3c5af5706b,S03,train,,unique,1,testing
flip__0004,flip,0004,23,28,training,training/flip/0004_000000028.jpg,aa1fd1625ecb95aba2acd85f63c5f4a162924ff7eb11088ef8d8dd319f7ce190,S03,train,,unique,1,training
flip__0005,flip,0005,0,1,training,training/flip/0005_000000001.jpg,753cd96521c6e3e5a3381eb1791c42008c89e4543fa2a0490fbaa34b2f57e7b6,E06,train,,unique,1,training
flip__0005,flip,0005,1,2,training,training/flip/0005_000000002.jpg,9e02c6e292754d1a43509cbb825c8ebccb6fa55ef91d73984923a27271f77d5c,E06,train,,unique,1,training
flip__0005,flip,0005,2,3,testing,testing/flip/0005_000000003.jpg,270e91b1cfa7af8d89ec21e194ff8aa4cbbef16084b41c43162f16d799ed9de3,E06,train,,unique,1,testing
flip__0005,flip,0005,3,4,training,training/flip/0005_000000004.jpg,54b35db4ea2dc615f83b8738c83efec35c0adfc7c6c66e37fdc8f8d2052b8352,E06,train,,unique,1,training
flip__0005,flip,0005,4,5,training,training/flip/0005_000000005.jpg,3a14c69f5f3b3be25b13bfac1280c8c8d980996f9e86c15f72832b1ef3148993,E06,train,,unique,1,training
flip__0005,flip,0005,5,6,training,training/flip/0005_000000006.jpg,f5654e07c9ec2b206f8de4515140cd6b0ca4360be094fdebfdbd8257987b1b75,E06,train,,unique,1,training
flip__0005,flip,0005,6,7,training,training/flip/0005_000000007.jpg,86da961f230f53bc69a8f05ca14781212c7ac03c2e3908f778bbf230a5f66a33,E06,train,,unique,1,training
flip__0005,flip,0005,7,8,testing,testing/flip/0005_000000008.jpg,46934c0f54229233dda3e6cf9919024b8dbdc3f8bb329cb311c2c924d3e57e7d,E06,train,,unique,1,testing
flip__0005,flip,0005,8,9,training,training/flip/0005_000000009.jpg,a2533af833bfc9034566449f57ec65c9c922b506c87867cbbbc0c73ef134553d,E06,train,,unique,1,training
flip__0005,flip,0005,9,10,training,training/flip/0005_000000010.jpg,e5305d6acd4b54bece762ad7ce18f584915b425dd6abe6b8127fc85ef8319342,E06,train,,unique,1,training
flip__0005,flip,0005,10,11,training,training/flip/0005_000000011.jpg,31dee931ba37cae370b0c1ef0f937acd1ab094ff7bf3e624d083692a5006d13a,E06,train,,unique,1,training
flip__0005,flip,0005,11,12,training,training/flip/0005_000000012.jpg,c33e41761b8ab91a178b2080642f7753380999a86a8fcbd3a0ffe52e1e423355,E06,train,,unique,1,training
flip__0005,flip,0005,12,13,training,training/flip/0005_000000013.jpg,13caed56ef4970313f0e7153485ff7d177c8acebb66a1791645d6c481b7e4c76,E06,train,,unique,1,training
flip__0005,flip,0005,13,14,training,training/flip/0005_000000014.jpg,2be4bfeca9275a838d719ecaa6e973c4480f29e3dd210c065748424b3fe01683,E06,train,,unique,1,training
flip__0005,flip,0005,14,15,training,training/flip/0005_000000015.jpg,a37e55eed60d87683305d6d766768a64e079301ecbf796f77c4a83e1e2a95810,E06,train,,unique,1,training
flip__0005,flip,0005,15,16,training,training/flip/0005_000000016.jpg,d81b86934ba3077d2dd00caab8774f8ab6ff6db2f31236b378223ecd8c8cb517,E06,train,,unique,1,training
flip__0005,flip,0005,16,17,training,training/flip/0005_000000017.jpg,c6e823b5a22db499aad6c04ffa649c4bd4092d9816f6b3166d87935da5ccf3ab,E06,train,,unique,1,training
flip__0005,flip,0005,17,18,testing,testing/flip/0005_000000018.jpg,9c905e46ce26903731fbfab17ebde9e7b6260a29459da018dab94d91ea71504e,E06,train,,unique,1,testing
flip__0005,flip,0005,18,19,training,training/flip/0005_000000019.jpg,22fda35586483a5f14a47d5cb899b4e5c2abb173aaef4993ea505e806296d4dc,E06,train,,unique,1,training
flip__0005,flip,0005,19,20,training,training/flip/0005_000000020.jpg,1f44890982c04193702491aeb8cecae4e1362817f518d7b159adee96969eb92b,E06,train,,unique,1,training
flip__0005,flip,0005,20,21,training,training/flip/0005_000000021.jpg,3a210cea1970ad3eec77e3bcbcb6905053ffec12dc2d9dd318707d3ba73497f5,E06,train,,unique,1,training
flip__0005,flip,0005,21,22,training,training/flip/0005_000000022.jpg,f5497fb8fd340dfd756d40c51b02a46f9e3e988fc3d6a8970131dfc451975d4a,E06,train,,unique,1,training
flip__0005,flip,0005,22,23,testing,testing/flip/0005_000000023.jpg,ab68045dafdcac6b0eb4d17f75ab8e32abb48ead56f52ddef8cd317667066c29,E06,train,,unique,1,testing
flip__0005,flip,0005,23,24,training,training/flip/0005_000000024.jpg,a6f524ac54cd6f57f3087ef1809315e984c1ec2a1af7b870db434191ed7d7157,E06,train,,unique,1,training
flip__0005,flip,0005,24,25,training,training/flip/0005_000000025.jpg,76c4fa9c0148771b0439a7b39cc90224a6d3f222e985366f4d1bea2ffc7b6356,E06,train,,unique,1,training
flip__0005,flip,0005,25,26,training,training/flip/0005_000000026.jpg,ccf9a837e66d03080bac53f0a40f1feb1b400ca107eab401c7e92a0101c19e27,E06,train,,unique,1,training
flip__0005,flip,0005,26,27,training,training/flip/0005_000000027.jpg,47f05c9528d2432517024b03a3a08eaea8d4bfaa13be6b91136f5e9691d3975b,E06,train,,unique,1,training
flip__0005,flip,0005,27,28,testing,testing/flip/0005_000000028.jpg,3e94a6f5c4774f44ac96c887b381a36f4ecd904647e2b62d98e9e1cd85506400,E06,train,,unique,1,testing
flip__0005,flip,0005,28,29,training,training/flip/0005_000000029.jpg,f1af377f19a3ff19ee60d4e7738c718c08df242a95905c58882a12252fb1217a,E06,train,,unique,1,training
flip__0005,flip,0005,29,30,training,training/flip/0005_000000030.jpg,e35ae3f044cde9040419b9f107991892c40e3c19b2b97f56550de07f49f6303f,E06,train,,unique,1,training
flip__0006,flip,0006,0,1,testing,testing/flip/0006_000000001.jpg,c05c5428222217253e2e0d4766bf28aa9f2040e0a216af4161aca42e61bfcff4,S04,train,37,representative,1,testing
flip__0006,flip,0006,11,12,testing,testing/flip/0006_000000012.jpg,de78197a93964bf68c2ee9022d011a4f4971f17eeaa77a9523477012b63c6de0,S04,train,,unique,1,testing
flip__0006,flip,0006,12,13,training,training/flip/0006_000000013.jpg,9aaba97de618b252a100f4a8f923e2f38db58757e242329d8943cc15a3f19e1c,S04,train,,unique,1,training
flip__0006,flip,0006,13,14,training,training/flip/0006_000000014.jpg,87c8475a579c8a578a722961abefe88d752684715dd2b2d161502fcf5481e91f,S04,train,,unique,1,training
flip__0006,flip,0006,14,15,training,training/flip/0006_000000015.jpg,6d11503811106c9601423dad344053983cfc2ca10e323c2e3dcb560aa80b6cd7,S04,train,,unique,1,training
flip__0006,flip,0006,15,16,training,training/flip/0006_000000016.jpg,88ac8bd7657260c80b24de65f07bb62ef612bb826441f801e0712afcb34f6d68,S04,train,,unique,1,training
flip__0006,flip,0006,16,17,training,training/flip/0006_000000017.jpg,f2bf70c6192e7c2ca087904142666cad61ba3e7c61b37fab7eeb6ae385a3ccca,S04,train,,unique,1,training
flip__0006,flip,0006,17,18,training,training/flip/0006_000000018.jpg,eea78575402a77e2a7d8bcfc94d0640f26658fe0c818d44940aeaf224b51cfa0,S04,train,,unique,1,training
flip__0006,flip,0006,18,19,training,training/flip/0006_000000019.jpg,7b7441ea83b617ca15b7d4783a735e2daa038fca8f391bcfafa955ae6e7d63c3,S04,train,,unique,1,training
flip__0006,flip,0006,19,20,training,training/flip/0006_000000020.jpg,dc15045511ddccc8f2393b7504f3ed3b4f7f4d1ea207d0c1d755828f58a3f3a7,S04,train,,unique,1,training
flip__0006,flip,0006,20,21,testing,testing/flip/0006_000000021.jpg,ed96537c03c94a15bc0c30d525c3302fff6e00a5ec70264b975ade613c442b35,S04,train,,unique,1,testing
flip__0006,flip,0006,21,22,testing,testing/flip/0006_000000022.jpg,8f4d63ced1e300921a9eb08259c6910c1655a6b464e7511ddb7ce06330eeba99,S04,train,,unique,1,testing
flip__0006,flip,0006,22,23,training,training/flip/0006_000000023.jpg,896cdc2d0b68cf342cb8bcf803bf43e8585099c51ca129844cf558e94c9520cc,S04,train,,unique,1,training
flip__0006,flip,0006,23,24,testing,testing/flip/0006_000000024.jpg,5a138e4ae63fc46def0f4d5591963375cf46592f12a0d2e87d4b4380a32b80ab,S04,train,,unique,1,testing
flip__0006,flip,0006,24,25,testing,testing/flip/0006_000000025.jpg,9b8c4f5242d1aba1881c546a4f7487512554003a69ed40756d0cc1832a465083,S04,train,,unique,1,testing
flip__0006,flip,0006,25,26,training,training/flip/0006_000000026.jpg,faf4f74b54ec1abacfca168ac8cced07b2fdf428f147c6fcc2eb10ca294a695a,S04,train,,unique,1,training
flip__0006,flip,0006,26,27,training,training/flip/0006_000000027.jpg,91ac581ec686ff20ab38d28638f42e5413708909f02121d56dfe127b8f5207ac,S04,train,,unique,1,training
flip__0006,flip,0006,27,28,training,training/flip/0006_000000028.jpg,0b7ca4a535c43585828292fbe2f553c4da289454541f0e267d40e17357ef2d58,S04,train,,unique,1,training
flip__0006,flip,0006,28,29,training,training/flip/0006_000000029.jpg,e34396350f62d43b11bc07dd76ad7fba7277d8d35865cfff172b402dcd769630,S04,train,,unique,1,training
flip__0006,flip,0006,29,30,testing,testing/flip/0006_000000030.jpg,d14f73e31dc96bc0e954242b61d79ac3adc290f8bc54fae27ba81af6ce193702,S04,train,,unique,1,testing
flip__0007,flip,0007,0,5,training,training/flip/0007_000000005.jpg,eaeefa4aa6f4c60827675d55789ffab8adaa85915a1a3a2836c53c579ba81818,E06,train,53,representative,1,training
flip__0007,flip,0007,7,12,training,training/flip/0007_000000012.jpg,db5e6ee2c8add1789859c8fe12d976644dffd963d34e4ccef331a4ce9a3fd384,E06,train,,unique,1,training
flip__0007,flip,0007,8,13,training,training/flip/0007_000000013.jpg,0b9f8cecf649ba9af4c380a3f06c9ace1f9b2c40eafece507448cd373fbcd59a,E06,train,,unique,1,training
flip__0007,flip,0007,9,14,training,training/flip/0007_000000014.jpg,1aa02c5dbee951906383042463de94fd6516d7f42d02ddba27a4173230bf4a15,E06,train,,unique,1,training
flip__0007,flip,0007,10,15,training,training/flip/0007_000000015.jpg,9914fa2b0ef4f4c9794605c2e5beb02867079de8787e8150af4bc77b1cec8ef1,E06,train,,unique,1,training
flip__0007,flip,0007,11,16,training,training/flip/0007_000000016.jpg,49f68bab8ff12cf6e07c5f8ff6f4050773077d26eda8eab0086937d5f957f726,E06,train,,unique,1,training
flip__0007,flip,0007,12,17,training,training/flip/0007_000000017.jpg,c1867d7198aee8e2dec755fdd33041d7788124cfb44d31294fa20ae9e4f09665,E06,train,,unique,1,training
flip__0007,flip,0007,13,18,testing,testing/flip/0007_000000018.jpg,f79d7eb7256abbd8bae97bb40f14e5ca068b85a8efe3cbe4b39d8cb0269d0b11,E06,train,,unique,1,testing
flip__0007,flip,0007,14,19,training,training/flip/0007_000000019.jpg,3707f8d12ada87fdbb4371586aa9375f0c762cbf07cc397e94d1284cec560ea7,E06,train,,unique,1,training
flip__0007,flip,0007,15,20,training,training/flip/0007_000000020.jpg,45803cda33ff994694b6bb5e93541098af9fdd8c43c74119c548d497543a47a9,E06,train,,unique,1,training
flip__0007,flip,0007,16,21,training,training/flip/0007_000000021.jpg,a075796b4e2af7b681ec7c597c8f5f0540529748292f06f479e10ab2c54db2ea,E06,train,,unique,1,training
flip__0007,flip,0007,17,22,training,training/flip/0007_000000022.jpg,7bacd78f43899c85581b22c6be6ae1f9fb3755a603d178a2b4fa823b21e738db,E06,train,,unique,1,training
flip__0007,flip,0007,18,23,training,training/flip/0007_000000023.jpg,8da794c4f046b360058e3b4705f6ef64df9357df3ce981c757462e9a4ed558c2,E06,train,,unique,1,training
flip__0007,flip,0007,19,24,testing,testing/flip/0007_000000024.jpg,d8e21c56a15fc3c9dcf4b4b4c175dd354531da30f444715d4d128c6d0e2196b6,E06,train,,unique,1,testing
flip__0007,flip,0007,20,25,training,training/flip/0007_000000025.jpg,9bc8f91e9e0531980c61dc7e50ed887425995d5dfaba442ec43386ed48de8650,E06,train,,unique,1,training
flip__0007,flip,0007,21,26,training,training/flip/0007_000000026.jpg,9530798120ae4115a3e158fdce152f433e9d5e10d806261ba6e9e743af17fe92,E06,train,,unique,1,training
flip__0007,flip,0007,22,27,training,training/flip/0007_000000027.jpg,b4342993f3be4d2b2a0acabcc8b7f36fa36a6cbb364a70f2780634ab273c914b,E06,train,,unique,1,training
flip__0007,flip,0007,23,28,training,training/flip/0007_000000028.jpg,0206880498056eb8e5660e24f0296aef0e46d8c7ada2a2144c12401d5a180089,E06,train,,unique,1,training
flip__0007,flip,0007,24,29,training,training/flip/0007_000000029.jpg,3b327b21520eefafe5f6ba5b07e5bff9440fe810964225524d85992886e678ec,E06,train,,unique,1,training
flip__0007,flip,0007,25,30,training,training/flip/0007_000000030.jpg,ad035f8ff123c6e42e2d1ff82bfecb73e1821d35d47879538091e2900e8f35c2,E06,train,,unique,1,training
flip__0008,flip,0008,0,1,training,training/flip/0008_000000001.jpg,e498779830347fa9367786e8f021efc2c707a07bf45f7b934d6987e33008fa6d,E06,train,,unique,1,training
flip__0008,flip,0008,1,2,training,training/flip/0008_000000002.jpg,4f845cf9a78619f15924c2cd5a34dcc34bcbe8f2385012c6258e388d97b7716f,E06,train,118,representative,1,training
flip__0008,flip,0008,4,5,testing,testing/flip/0008_000000005.jpg,5c2269e2eff73dd552d90771833c81b3656052e02412d075111ab1997af87523,E06,train,,unique,1,testing
flip__0008,flip,0008,5,6,training,training/flip/0008_000000006.jpg,4b466157714db402098af7fdbf7111218884e61d537c8765ca7a81ac32b9afe9,E06,train,,unique,1,training
flip__0008,flip,0008,6,7,testing,testing/flip/0008_000000007.jpg,ca45f5ef3773186eaf362f55af7a626ddd4ea095ef9265c09d6624001a2fb108,E06,train,138,representative,1,testing
flip__0008,flip,0008,8,9,training,training/flip/0008_000000009.jpg,0b9b0f43bad6114de14404b5986307094e5415988fecc54599c094d9e250e5bd,E06,train,,unique,1,training
flip__0008,flip,0008,9,10,training,training/flip/0008_000000010.jpg,f82014a48ac6630b0ebc7995c5d4480b62b847409996ff4735f884d2120d61af,E06,train,,unique,1,training
flip__0008,flip,0008,10,11,training,training/flip/0008_000000011.jpg,1e5f1077abe01f18e86eef28c6640ea0113ff8d2f522e88b8a3c8f9f0db3048b,E06,train,,unique,1,training
flip__0008,flip,0008,11,12,training,training/flip/0008_000000012.jpg,3d9d6032ed1c52acf1f150d5d5f927e13b05b2dcbd713d1a1eaa8c86f52a49a2,E06,train,,unique,1,training
flip__0008,flip,0008,12,13,training,training/flip/0008_000000013.jpg,97e0e4fca9b7facffb752d04dc2173739e7abeb55325f645c0cf795b4a590869,E06,train,,unique,1,training
flip__0008,flip,0008,13,14,training,training/flip/0008_000000014.jpg,7170e97b8f0cb775bf5a35a17d97b15a243332b6a4e4dae104f7590761a3d623,E06,train,,unique,1,training
flip__0008,flip,0008,14,15,training,training/flip/0008_000000015.jpg,05baaff3fa0efee9144f1b1dee6328b8a0d8857bc001dde4576e8a23c29058d4,E06,train,,unique,1,training
flip__0008,flip,0008,15,16,training,training/flip/0008_000000016.jpg,1685808b1da2e7edd87838c3a4f98c8f4bb3314acf394ab0f12bf44801a51a49,E06,train,,unique,1,training
flip__0008,flip,0008,16,17,training,training/flip/0008_000000017.jpg,d4b7bee2e96b7a34b8773dbed5bd8956a8cd6e7e18780f308454fe03ea1cb47f,E06,train,,unique,1,training
flip__0008,flip,0008,17,18,training,training/flip/0008_000000018.jpg,78d206440180f934c8abd1297a32113f92fd702f588b335c993aae829afa07d9,E06,train,,unique,1,training
flip__0008,flip,0008,18,19,training,training/flip/0008_000000019.jpg,02b7c2c12f2226d11c67547f7b2ea76677b65edf041edb78e9e551aa0a6226c1,E06,train,,unique,1,training
