sequence_id,label,video_id,sampled_frames,detected_page_values,detected_page_value_count,min_detected_page,max_detected_page
flip__0059,flip,0059,5,"[1, 2, 4, 5]",4,1,5
flip__0060,flip,0060,5,"[3, 4, 22]",3,3,22
flip__0061,flip,0061,5,"[1, 2, 4, 5, 7, 8]",6,1,8
flip__0062,flip,0062,5,"[1, 2, 3, 4, 5, 7, 450]",7,1,450
flip__0063,flip,0063,5,"[2, 3, 5, 8, 10]",5,2,10
flip__0064,flip,0064,5,"[1, 2, 3, 4, 5, 7, 23]",7,1,23
flip__0065,flip,0065,5,"[1, 2, 3, 7, 8, 9, 10]",7,1,10
notflip__0001,notflip,0001,5,"[1, 2, 3, 4]",4,1,4
notflip__0002,notflip,0002,5,"[2, 5, 6, 7, 17, 63, 1022]",7,2,1022
notflip__0003,notflip,0003,5,"[2, 3, 4, 5, 255]",5,2,255
notflip__0004,notflip,0004,5,"[1, 2, 3]",3,1,3
notflip__0005,notflip,0005,5,"[1, 2, 3, 6, 7, 85]",6,1,85
notflip__0006,notflip,0006,5,"[1, 2, 3, 10]",4,1,10
notflip__0007,notflip,0007,5,"[2, 3, 7, 8]",4,2,8
notflip__0008,notflip,0008,5,[],0,,
notflip__0009,notflip,0009,5,"[3, 4]",2,3,4
notflip__0010,notflip,0010,5,"[4, 7, 8]",3,4,8
notflip__0011,notflip,0011,5,"[3, 4, 5, 9]",4,3,9
notflip__0015,notflip,0015,5,"[1, 2]",2,1,2
notflip__0016,notflip,0016,5,"[1, 2, 5, 6]",4,1,6
notflip__0019,notflip,0019,5,"[4, 5, 7, 8]",4,4,8
notflip__0020,notflip,0020,5,"[2, 3, 4, 5, 6, 7]",6,2,7
notflip__0021,notflip,0021,5,"[2, 4]",2,2,4
notflip__0023,notflip,0023,5,"[4, 5, 6, 7, 8, 19, 20]",7,4,20
notflip__0024,notflip,0024,5,"[1, 2, 3, 4, 5, 6]",6,1,6
notflip__0025,notflip,0025,5,"[1, 2, 4, 5, 6, 7]",6,1,7
notflip__0026,notflip,0026,5,"[1, 2, 3]",3,1,3
notflip__0027,notflip,0027,5,[],0,,
notflip__0028,notflip,0028,5,"[2, 3, 4, 5, 8, 9]",6,2,9
notflip__0029,notflip,0029,5,"[1, 2, 3, 4, 5, 20, 21]",7,1,21
notflip__0030,notflip,0030,5,"[1, 2, 3, 4, 5, 6]",6,1,6
notflip__0031,notflip,0031,5,"[1, 2, 3, 5, 6, 24, 25]",7,1,25
notflip__0032,notflip,0032,5,"[1, 2, 6, 7, 8, 9]",6,1,9
notflip__0033,notflip,0033,5,"[2, 3]",2,2,3
notflip__0034,notflip,0034,5,"[4, 7, 16, 59, 80]",5,4,80
notflip__0035,notflip,0035,5,"[2, 3, 4]",3,2,4
notflip__0036,notflip,0036,5,"[1, 4, 6, 8]",4,1,8
notflip__0037,notflip,0037,5,"[1, 2]",2,1,2
notflip__0038,notflip,0038,5,"[1, 2, 3, 12]",4,1,12
notflip__0039,notflip,0039,5,"[1, 2, 3, 4, 14, 15]",6,1,15
notflip__0040,notflip,0040,5,"[1, 2, 6, 7]",4,1,7
notflip__0041,notflip,0041,5,"[1, 2, 3, 7, 8]",5,1,8
notflip__0042,notflip,0042,5,"[1, 2, 3, 4, 9, 10, 108]",7,1,108
notflip__0043,notflip,0043,5,"[1, 2, 3, 5, 8, 9]",6,1,9
notflip__0044,notflip,0044,5,"[2, 5, 8, 9, 37, 53, 140, 298, 299]",9,2,299
notflip__0045,notflip,0045,5,"[1, 2, 3, 4, 5, 98, 181]",7,1,181
notflip__0046,notflip,0046,5,"[3, 4, 5, 7, 8, 41, 90]",7,3,90
notflip__0047,notflip,0047,5,"[3, 4, 5, 304, 305]",5,3,305
notflip__0048,notflip,0048,5,"[4, 5, 8, 10, 12, 15, 134, 213, 215]",9,4,215
notflip__0049,notflip,0049,5,"[1, 2, 3, 4, 7, 8, 308, 309]",8,1,309
notflip__0050,notflip,0050,5,"[1, 2, 3, 4, 5, 20, 990]",7,1,990
notflip__0051,notflip,0051,5,"[3, 4, 5, 6, 8, 10, 15, 19]",8,3,19
notflip__0052,notflip,0052,5,"[1, 2, 5, 7, 8, 10, 255, 258]",8,1,258
notflip__0053,notflip,0053,5,"[1, 2, 3, 5]",4,1,5
notflip__0054,notflip,0054,5,"[1, 2, 3, 4, 6, 9, 10, 25, 28]",9,1,28
notflip__0055,notflip,0055,5,"[1, 2, 3, 4, 5]",5,1,5
notflip__0056,notflip,0056,5,"[1, 2, 3, 4]",4,1,4
notflip__0057,notflip,0057,5,"[3, 4, 5, 6, 7, 200, 201]",7,3,201
notflip__0058,notflip,0058,5,"[1, 2, 3, 5, 7, 22]",6,1,22
