sequence_id,label,video_id,sample_position_index,sequence_frame_index,frame_num,path,numeric_token_count,top_candidates,left_page_candidate,right_page_candidate,pair_score
flip__0003,flip,0003,0,0,1,training/flip/0003_000000001.jpg,20,"[{""value"": 2, ""conf"": 0.0, ""cx"": 0.085, ""cy"": 0.188, ""score"": 1.493}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.416, ""cy"": 0.276, ""score"": 1.4}, {""value"": 2, ""conf"": 55.0, ""cx"": 0.766, ""cy"": 0.326, ""score"": 1.152}, {""value"": 443, ""conf"": 0.0, ""cx"": 0.106, ""cy"": 0.309, ""score"": 0.629}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.107, ""cy"": 0.319, ""score"": 0.624}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.189, ""cy"": 0.702, ""score"": 0.622}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.234, ""cy"": 0.314, ""score"": 0.608}, {""value"": 80, ""conf"": 0.0, ""cx"": 0.14, ""cy"": 0.349, ""score"": 0.604}]",1,2,4.8016
flip__0003,flip,0003,1,6,7,training/flip/0003_000000007.jpg,27,"[{""value"": 3, ""conf"": 24.0, ""cx"": 0.402, ""cy"": 0.939, ""score"": 1.749}, {""value"": 622, ""conf"": 0.0, ""cx"": 0.101, ""cy"": 0.279, ""score"": 1.445}, {""value"": 3, ""conf"": 43.0, ""cx"": 0.753, ""cy"": 0.314, ""score"": 1.036}, {""value"": 3, ""conf"": 9.0, ""cx"": 0.42, ""cy"": 0.362, ""score"": 0.646}, {""value"": 443, ""conf"": 0.0, ""cx"": 0.107, ""cy"": 0.31, ""score"": 0.629}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.089, ""cy"": 0.338, ""score"": 0.618}, {""value"": 180, ""conf"": 0.0, ""cx"": 0.073, ""cy"": 0.347, ""score"": 0.615}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.334, ""cy"": 0.281, ""score"": 0.61}]",2,3,3.9036
flip__0003,flip,0003,2,12,13,training/flip/0003_000000013.jpg,25,"[{""value"": 28, ""conf"": 47.0, ""cx"": 0.383, ""cy"": 0.938, ""score"": 1.982}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.089, ""cy"": 0.189, ""score"": 1.492}, {""value"": 80, ""conf"": 0.0, ""cx"": 0.194, ""cy"": 0.204, ""score"": 1.469}, {""value"": 802, ""conf"": 0.0, ""cx"": 0.317, ""cy"": 0.19, ""score"": 1.458}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.303, ""cy"": 0.199, ""score"": 1.455}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.777, ""cy"": 0.233, ""score"": 1.45}, {""value"": 7, ""conf"": 0.0, ""cx"": 0.784, ""cy"": 0.25, ""score"": 1.443}, {""value"": 1, ""conf"": 9.0, ""cx"": 0.666, ""cy"": 0.331, ""score"": 0.674}]",2,1,5.1922
flip__0003,flip,0003,3,19,20,training/flip/0003_000000020.jpg,22,"[{""value"": 4, ""conf"": 0.0, ""cx"": 0.093, ""cy"": 0.212, ""score"": 1.48}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.288, ""cy"": 0.191, ""score"": 1.461}, {""value"": 7, ""conf"": 0.0, ""cx"": 0.334, ""cy"": 0.204, ""score"": 1.448}, {""value"": 4, ""conf"": 0.0, ""cx"": 0.641, ""cy"": 0.232, ""score"": 1.43}, {""value"": 4, ""conf"": 15.0, ""cx"": 0.189, ""cy"": 0.703, ""score"": 0.773}, {""value"": 7, ""conf"": 57.0, ""cx"": 0.898, ""cy"": 0.562, ""score"": 0.736}, {""value"": 443, ""conf"": 0.0, ""cx"": 0.098, ""cy"": 0.312, ""score"": 0.629}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.76, ""cy"": 0.296, ""score"": 0.616}]",7,4,3.9283
flip__0003,flip,0003,4,25,26,training/flip/0003_000000026.jpg,8,"[{""value"": 3, ""conf"": 0.0, ""cx"": 0.61, ""cy"": 0.232, ""score"": 1.426}, {""value"": 7, ""conf"": 71.0, ""cx"": 0.628, ""cy"": 0.302, ""score"": 1.303}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.756, ""cy"": 0.295, ""score"": 0.616}, {""value"": 5, ""conf"": 0.0, ""cx"": 0.831, ""cy"": 0.321, ""score"": 0.614}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.627, ""cy"": 0.294, ""score"": 0.597}, {""value"": 42, ""conf"": 0.0, ""cx"": 0.728, ""cy"": 0.368, ""score"": 0.575}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.845, ""cy"": 0.417, ""score"": 0.168}, {""value"": 5, ""conf"": 0.0, ""cx"": 0.804, ""cy"": 0.418, ""score"": 0.161}]",,,
flip__0004,flip,0004,0,0,5,training/flip/0004_000000005.jpg,17,"[{""value"": 538, ""conf"": 0.0, ""cx"": 0.226, ""cy"": 0.201, ""score"": 1.466}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.334, ""cy"": 0.197, ""score"": 1.451}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.348, ""cy"": 0.209, ""score"": 1.443}, {""value"": 7, ""conf"": 0.0, ""cx"": 0.592, ""cy"": 0.254, ""score"": 1.412}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.59, ""cy"": 0.272, ""score"": 1.403}, {""value"": 1, ""conf"": 40.0, ""cx"": 0.652, ""cy"": 0.374, ""score"": 0.961}, {""value"": 7, ""conf"": 4.0, ""cx"": 0.672, ""cy"": 0.373, ""score"": 0.604}, {""value"": 5, ""conf"": 31.0, ""cx"": 0.655, ""cy"": 0.388, ""score"": 0.464}]",8,7,5.1052
flip__0004,flip,0004,1,6,11,training/flip/0004_000000011.jpg,16,"[{""value"": 3, ""conf"": 47.0, ""cx"": 0.409, ""cy"": 0.918, ""score"": 1.968}, {""value"": 2, ""conf"": 37.0, ""cx"": 0.589, ""cy"": 0.238, ""score"": 1.789}, {""value"": 1, ""conf"": 32.0, ""cx"": 0.754, ""cy"": 0.199, ""score"": 1.784}, {""value"": 21, ""conf"": 17.0, ""cx"": 0.694, ""cy"": 0.27, ""score"": 1.589}, {""value"": 1, ""conf"": 10.0, ""cx"": 0.592, ""cy"": 0.255, ""score"": 1.511}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.105, ""cy"": 0.212, ""score"": 1.478}, {""value"": 50, ""conf"": 0.0, ""cx"": 0.217, ""cy"": 0.196, ""score"": 1.47}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.302, ""cy"": 0.201, ""score"": 1.454}]",3,2,6.0069
flip__0004,flip,0004,2,12,17,training/flip/0004_000000017.jpg,9,"[{""value"": 4, ""conf"": 19.0, ""cx"": 0.187, ""cy"": 0.189, ""score"": 1.668}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.374, ""cy"": 0.934, ""score"": 1.511}, {""value"": 21, ""conf"": 0.0, ""cx"": 0.109, ""cy"": 0.196, ""score"": 1.486}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.109, ""cy"": 0.205, ""score"": 1.481}, {""value"": 99, ""conf"": 0.0, ""cx"": 0.219, ""cy"": 0.198, ""score"": 1.468}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.262, ""cy"": 0.232, ""score"": 1.445}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.493, ""cy"": 0.254, ""score"": 0.999}, {""value"": 4, ""conf"": 95.0, ""cx"": 0.508, ""cy"": 0.547, ""score"": 0.65}]",3,4,3.8989
flip__0004,flip,0004,3,17,22,training/flip/0004_000000022.jpg,12,"[{""value"": 3, ""conf"": 0.0, ""cx"": 0.216, ""cy"": 0.201, ""score"": 1.467}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.323, ""cy"": 0.217, ""score"": 1.443}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.354, ""cy"": 0.229, ""score"": 1.432}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.767, ""cy"": 0.302, ""score"": 0.614}, {""value"": 5, ""conf"": 1.0, ""cx"": 0.833, ""cy"": 0.36, ""score"": 0.605}, {""value"": 5, ""conf"": 9.0, ""cx"": 0.058, ""cy"": 0.386, ""score"": 0.288}, {""value"": 10, ""conf"": 13.0, ""cx"": 0.192, ""cy"": 0.5, ""score"": 0.251}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.092, ""cy"": 0.39, ""score"": 0.191}]",3,2,4.3308
flip__0004,flip,0004,4,23,28,training/flip/0004_000000028.jpg,5,"[{""value"": 3, ""conf"": 24.0, ""cx"": 0.73, ""cy"": 0.236, ""score"": 1.681}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.689, ""cy"": 0.344, ""score"": 0.581}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.66, ""cy"": 0.551, ""score"": 0.124}, {""value"": 13, ""conf"": 0.0, ""cx"": 0.576, ""cy"": 0.555, ""score"": 0.114}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.57, ""cy"": 0.546, ""score"": 0.108}]",,,
flip__0005,flip,0005,0,0,1,training/flip/0005_000000001.jpg,8,"[{""value"": 2, ""conf"": 0.0, ""cx"": 0.307, ""cy"": 0.227, ""score"": 1.44}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.755, ""cy"": 0.252, ""score"": 1.437}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.387, ""cy"": 0.224, ""score"": 1.43}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.281, ""cy"": 0.265, ""score"": 1.425}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.561, ""cy"": 0.26, ""score"": 1.404}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.074, ""cy"": 0.401, ""score"": 0.188}, {""value"": 6, ""conf"": 0.0, ""cx"": 0.084, ""cy"": 0.411, ""score"": 0.182}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.353, ""cy"": 0.566, ""score"": 0.13}]",2,1,5.1275
flip__0005,flip,0005,1,7,8,testing/flip/0005_000000008.jpg,23,"[{""value"": 4, ""conf"": 67.0, ""cx"": 0.755, ""cy"": 0.239, ""score"": 2.114}, {""value"": 7, ""conf"": 27.0, ""cx"": 0.79, ""cy"": 0.238, ""score"": 1.719}, {""value"": 3, ""conf"": 4.0, ""cx"": 0.811, ""cy"": 0.262, ""score"": 1.481}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.841, ""cy"": 0.219, ""score"": 1.467}, {""value"": 7, ""conf"": 0.0, ""cx"": 0.632, ""cy"": 0.233, ""score"": 1.428}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.293, ""cy"": 0.266, ""score"": 1.423}, {""value"": 17, ""conf"": 0.0, ""cx"": 0.628, ""cy"": 0.251, ""score"": 1.419}, {""value"": 5, ""conf"": 43.0, ""cx"": 0.685, ""cy"": 0.333, ""score"": 1.016}]",1,4,4.5868
flip__0005,flip,0005,2,14,15,training/flip/0005_000000015.jpg,9,"[{""value"": 1, ""conf"": 0.0, ""cx"": 0.307, ""cy"": 0.211, ""score"": 1.448}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.249, ""cy"": 0.229, ""score"": 1.448}, {""value"": 5, ""conf"": 0.0, ""cx"": 0.707, ""cy"": 0.268, ""score"": 1.422}, {""value"": 22, ""conf"": 0.0, ""cx"": 0.232, ""cy"": 0.345, ""score"": 0.593}, {""value"": 5, ""conf"": 0.0, ""cx"": 0.117, ""cy"": 0.416, ""score"": 0.174}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.108, ""cy"": 0.55, ""score"": 0.159}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.5, ""cy"": 0.356, ""score"": 0.147}, {""value"": 30, ""conf"": 0.0, ""cx"": 0.211, ""cy"": 0.464, ""score"": 0.136}]",2,5,3.9198
flip__0005,flip,0005,3,22,23,testing/flip/0005_000000023.jpg,13,"[{""value"": 2, ""conf"": 9.0, ""cx"": 0.431, ""cy"": 0.884, ""score"": 1.568}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.144, ""cy"": 0.214, ""score"": 1.471}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.141, ""cy"": 0.224, ""score"": 1.467}, {""value"": 818, ""conf"": 0.0, ""cx"": 0.314, ""cy"": 0.202, ""score"": 1.452}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.221, ""cy"": 0.265, ""score"": 1.434}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.433, ""cy"": 0.236, ""score"": 1.417}, {""value"": 5, ""conf"": 47.0, ""cx"": 0.095, ""cy"": 0.641, ""score"": 1.076}, {""value"": 2, ""conf"": 53.0, ""cx"": 0.493, ""cy"": 0.354, ""score"": 0.679}]",,,
flip__0005,flip,0005,4,29,30,training/flip/0005_000000030.jpg,1,"[{""value"": 4, ""conf"": 63.0, ""cx"": 0.932, ""cy"": 0.669, ""score"": 1.254}]",,,
flip__0006,flip,0006,0,0,1,testing/flip/0006_000000001.jpg,19,"[{""value"": 2, ""conf"": 0.0, ""cx"": 0.071, ""cy"": 0.201, ""score"": 1.489}, {""value"": 90, ""conf"": 0.0, ""cx"": 0.252, ""cy"": 0.199, ""score"": 1.463}, {""value"": 10, ""conf"": 83.0, ""cx"": 0.571, ""cy"": 0.416, ""score"": 0.958}, {""value"": 521, ""conf"": 72.0, ""cx"": 0.142, ""cy"": 0.433, ""score"": 0.882}, {""value"": 2, ""conf"": 34.0, ""cx"": 0.756, ""cy"": 0.496, ""score"": 0.455}, {""value"": 7, ""conf"": 29.0, ""cx"": 0.569, ""cy"": 0.391, ""score"": 0.43}, {""value"": 2, ""conf"": 11.0, ""cx"": 0.135, ""cy"": 0.442, ""score"": 0.269}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.076, ""cy"": 0.44, ""score"": 0.169}]",2,2,2.7441
flip__0006,flip,0006,1,7,8,testing/flip/0006_000000008.jpg,18,"[{""value"": 7, ""conf"": 46.0, ""cx"": 0.221, ""cy"": 0.249, ""score"": 1.902}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.236, ""cy"": 0.2, ""score"": 1.465}, {""value"": 9, ""conf"": 0.0, ""cx"": 0.712, ""cy"": 0.235, ""score"": 1.439}, {""value"": 5, ""conf"": 67.0, ""cx"": 0.274, ""cy"": 0.457, ""score"": 0.8}, {""value"": 7, ""conf"": 52.0, ""cx"": 0.568, ""cy"": 0.393, ""score"": 0.659}, {""value"": 7, ""conf"": 47.0, ""cx"": 0.635, ""cy"": 0.393, ""score"": 0.619}, {""value"": 33, ""conf"": 31.0, ""cx"": 0.575, ""cy"": 0.525, ""score"": 0.409}, {""value"": 2, ""conf"": 17.0, ""cx"": 0.868, ""cy"": 0.568, ""score"": 0.334}]",8,9,5.1542
flip__0006,flip,0006,2,14,15,training/flip/0006_000000015.jpg,9,"[{""value"": 1, ""conf"": 17.0, ""cx"": 0.277, ""cy"": 0.255, ""score"": 1.601}, {""value"": 49, ""conf"": 0.0, ""cx"": 0.277, ""cy"": 0.23, ""score"": 1.443}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.373, ""cy"": 0.263, ""score"": 1.413}, {""value"": 4, ""conf"": 66.0, ""cx"": 0.241, ""cy"": 0.691, ""score"": 1.269}, {""value"": 2, ""conf"": 38.0, ""cx"": 0.061, ""cy"": 0.579, ""score"": 0.56}, {""value"": 102, ""conf"": 32.0, ""cx"": 0.093, ""cy"": 0.439, ""score"": 0.487}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.099, ""cy"": 0.43, ""score"": 0.17}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.134, ""cy"": 0.441, ""score"": 0.16}]",,,
flip__0006,flip,0006,3,22,23,training/flip/0006_000000023.jpg,8,"[{""value"": 9, ""conf"": 0.0, ""cx"": 0.142, ""cy"": 0.236, ""score"": 1.461}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.695, ""cy"": 0.243, ""score"": 1.433}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.786, ""cy"": 0.334, ""score"": 0.601}, {""value"": 2, ""conf"": 40.0, ""cx"": 0.853, ""cy"": 0.45, ""score"": 0.553}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.085, ""cy"": 0.431, ""score"": 0.172}, {""value"": 102, ""conf"": 0.0, ""cx"": 0.228, ""cy"": 0.454, ""score"": 0.139}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.326, ""cy"": 0.458, ""score"": 0.122}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.394, ""cy"": 0.459, ""score"": 0.111}]",1,2,3.7941
flip__0006,flip,0006,4,29,30,testing/flip/0006_000000030.jpg,12,"[{""value"": 9, ""conf"": 0.0, ""cx"": 0.702, ""cy"": 0.237, ""score"": 1.437}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.689, ""cy"": 0.245, ""score"": 1.431}, {""value"": 5, ""conf"": 36.0, ""cx"": 0.702, ""cy"": 0.335, ""score"": 0.948}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.776, ""cy"": 0.287, ""score"": 0.623}, {""value"": 24, ""conf"": 0.0, ""cx"": 0.786, ""cy"": 0.312, ""score"": 0.612}, {""value"": 2, ""conf"": 14.0, ""cx"": 0.409, ""cy"": 0.47, ""score"": 0.244}, {""value"": 2, ""conf"": 1.0, ""cx"": 0.788, ""cy"": 0.421, ""score"": 0.168}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.55, ""cy"": 0.335, ""score"": 0.165}]",2,2,2.4747
flip__0007,flip,0007,0,0,5,training/flip/0007_000000005.jpg,1,"[{""value"": 4, ""conf"": 0.0, ""cx"": 0.209, ""cy"": 0.336, ""score"": 0.601}]",,,
flip__0007,flip,0007,1,6,11,training/flip/0007_000000011.jpg,1,"[{""value"": 85, ""conf"": 0.0, ""cx"": 0.136, ""cy"": 0.334, ""score"": 0.613}]",,,
flip__0007,flip,0007,2,12,17,training/flip/0007_000000017.jpg,0,[],,,
flip__0007,flip,0007,3,19,24,testing/flip/0007_000000024.jpg,7,"[{""value"": 6, ""conf"": 0.0, ""cx"": 0.214, ""cy"": 0.272, ""score"": 1.432}, {""value"": 2, ""conf"": 88.0, ""cx"": 0.075, ""cy"": 0.577, ""score"": 1.057}, {""value"": 2, ""conf"": 49.0, ""cx"": 0.234, ""cy"": 0.497, ""score"": 0.606}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.224, ""cy"": 0.398, ""score"": 0.167}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.105, ""cy"": 0.445, ""score"": 0.162}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.213, ""cy"": 0.453, ""score"": 0.142}, {""value"": 23, ""conf"": 0.0, ""cx"": 0.272, ""cy"": 0.445, ""score"": 0.137}]",,,
flip__0007,flip,0007,4,25,30,training/flip/0007_000000030.jpg,1,"[{""value"": 4, ""conf"": 48.0, ""cx"": 0.053, ""cy"": 0.259, ""score"": 1.943}]",,,
