dedup_group_id,group_size,representative_path,representative_sequence,representative_split,representative_label,sequence_count,split_count,label_count,min_ssim_within_confirmed_edges,max_ssim_within_confirmed_edges
19,17,testing/notflip/0036_000000014.jpg,notflip__0036,testing,notflip,1,2,1,0.9506172710158881,0.996179718540195
20,17,training/notflip/0038_000000014.jpg,notflip__0038,training,notflip,1,2,1,0.9516469723134643,0.9950915249999831
21,17,testing/notflip/0044_000000014.jpg,notflip__0044,testing,notflip,1,2,1,0.9506289815455841,0.9957914634836027
22,16,training/notflip/0006_000000004.jpg,notflip__0006,training,notflip,1,2,1,0.9500556627653508,0.9897011238974448
23,16,testing/notflip/0027_000000001.jpg,notflip__0027,testing,notflip,1,2,1,0.9505495034005219,0.9998450250847513
24,16,training/notflip/0053_000000015.jpg,notflip__0053,training,notflip,1,2,1,0.9513371929866082,0.994184374606914
25,16,training/notflip/0050_000000014.jpg,notflip__0050,training,notflip,1,1,1,0.9517958804085377,0.9918173146157108
26,15,training/notflip/0025_000000016.jpg,notflip__0025,training,notflip,1,2,1,0.950772707038623,0.9950685393674893
27,15,training/notflip/0046_000000007.jpg,notflip__0046,training,notflip,1,2,1,0.9512593749580789,0.9906192969470149
28,15,training/notflip/0054_000000016.jpg,notflip__0054,training,notflip,1,2,1,0.9502444512451637,0.9911625147984406
29,14,testing/notflip/0029_000000017.jpg,notflip__0029,testing,notflip,1,2,1,0.9505289701656193,0.9910308564861737
30,14,testing/notflip/0040_000000017.jpg,notflip__0040,testing,notflip,1,2,1,0.9513944388379757,0.9958804469593743
31,13,training/flip/0042_000000003.jpg,flip__0042,training,flip,1,2,1,0.9507526079197505,0.9748024943328071
32,13,training/notflip/0034_000000018.jpg,notflip__0034,training,notflip,1,2,1,0.951472919287908,0.9870982921287068
33,12,testing/flip/0044_000000003.jpg,flip__0044,testing,flip,1,2,1,0.950672497677091,0.9855772476610876
34,12,training/notflip/0003_000000013.jpg,notflip__0003,training,notflip,1,2,1,0.9509617366220929,0.9897653851761529
35,12,training/notflip/0026_000000019.jpg,notflip__0026,training,notflip,1,2,1,0.9584661126236952,0.9944459253331591
36,12,training/notflip/0030_000000019.jpg,notflip__0030,training,notflip,1,2,1,0.9534916460524602,0.9999107477340113
37,11,testing/flip/0006_000000001.jpg,flip__0006,testing,flip,1,2,1,0.9510054439575337,0.9844468375246934
38,11,training/notflip/0004_000000025.jpg,notflip__0004,training,notflip,1,2,1,0.9504403673708254,0.991665938954726
39,11,training/notflip/0005_000000020.jpg,notflip__0005,training,notflip,1,2,1,0.9551308056026323,0.9880475245888646
40,11,testing/notflip/0023_000000020.jpg,notflip__0023,testing,notflip,1,2,1,0.9507784355427621,0.989996382642411
41,11,training/notflip/0045_000000017.jpg,notflip__0045,training,notflip,1,2,1,0.9518885075472255,0.9919933914685269
42,11,training/notflip/0057_000000013.jpg,notflip__0057,training,notflip,1,2,1,0.9504837356157192,0.9951759372109249
43,10,training/flip/0058_000000005.jpg,flip__0058,training,flip,1,2,1,0.960289823599255,0.9741288785723836
44,10,training/notflip/0008_000000021.jpg,notflip__0008,training,notflip,1,2,1,0.9526732034531826,0.9947932823583289
45,10,training/notflip/0031_000000012.jpg,notflip__0031,training,notflip,1,2,1,0.9548699664479521,0.9929797372712329
46,9,training/flip/0062_000000001.jpg,flip__0062,training,flip,1,2,1,0.9515238819005338,0.9844308899596086
47,9,training/notflip/0028_000000017.jpg,notflip__0028,training,notflip,1,2,1,0.9502810418751629,0.9838340318576099
48,9,training/notflip/0034_000000009.jpg,notflip__0034,training,notflip,1,2,1,0.9527758821947532,0.9838106252232545
49,9,training/flip/0029_000000001.jpg,flip__0029,training,flip,1,1,1,0.9524018127218086,0.9871683909010607
50,8,training/notflip/0007_000000019.jpg,notflip__0007,training,notflip,1,2,1,0.9591348705068128,0.976406270651321
51,8,training/notflip/0046_000000023.jpg,notflip__0046,training,notflip,1,2,1,0.9559219841767927,0.9851203358264253
52,8,training/flip/0028_000000005.jpg,flip__0028,training,flip,1,1,1,0.9551316092499617,0.988289091704962
53,7,training/flip/0007_000000005.jpg,flip__0007,training,flip,1,2,1,0.9626172280962565,0.9790176111679025
54,7,training/notflip/0019_000000023.jpg,notflip__0019,training,notflip,1,2,1,0.9513014451560461,0.9970073185143005
55,7,testing/notflip/0041_000000001.jpg,notflip__0041,testing,notflip,1,2,1,0.9582415925029596,0.9999977542760324
56,7,testing/notflip/0043_000000024.jpg,notflip__0043,testing,notflip,1,2,1,0.9561434422249669,0.9891307751801255
57,7,training/notflip/0052_000000024.jpg,notflip__0052,training,notflip,1,2,1,0.9527488209447049,0.979213027802635
58,7,training/flip/0015_000000001.jpg,flip__0015,training,flip,1,1,1,0.9518460687564332,0.9764390080151681
59,7,training/flip/0065_000000006.jpg,flip__0065,training,flip,1,1,1,0.957941435124122,0.9654282321183901
60,7,training/notflip/0001_000000016.jpg,notflip__0001,training,notflip,1,1,1,0.9557082216850087,0.9904657992783972
61,7,training/notflip/0008_000000001.jpg,notflip__0008,training,notflip,1,1,1,0.9693481488680529,0.9781241296288726
62,6,training/flip/0003_000000007.jpg,flip__0003,training,flip,1,2,1,0.9519398278267568,0.9998233839224074
63,6,training/flip/0014_000000001.jpg,flip__0014,training,flip,1,2,1,0.9570506811197509,0.9999453486472729
64,6,training/flip/0038_000000025.jpg,flip__0038,training,flip,1,2,1,0.9596600245045959,0.9745359481308314
65,6,training/flip/0053_000000004.jpg,flip__0053,training,flip,1,2,1,0.9500619411968397,0.9998815299736666
66,6,training/notflip/0016_000000018.jpg,notflip__0016,training,notflip,1,2,1,0.9506008025860193,0.9884524108963277
67,6,training/notflip/0021_000000022.jpg,notflip__0021,training,notflip,1,2,1,0.9567111720529746,0.9946346566897175
68,6,testing/notflip/0024_000000025.jpg,notflip__0024,testing,notflip,1,2,1,0.9560162795263405,0.9860766845259938
69,6,training/notflip/0041_000000012.jpg,notflip__0041,training,notflip,1,2,1,0.9537411699716339,0.9719106904138984
70,6,training/notflip/0003_000000007.jpg,notflip__0003,training,notflip,1,1,1,0.9594498783289692,0.9860322653130246
71,6,training/notflip/0027_000000025.jpg,notflip__0027,training,notflip,1,1,1,0.9505812469697368,0.9889338120335043
72,6,training/notflip/0031_000000022.jpg,notflip__0031,training,notflip,1,1,1,0.9512689188704402,0.9889402614814378
73,6,training/notflip/0032_000000020.jpg,notflip__0032,training,notflip,1,1,1,0.9543882019590265,0.9808742478506896
74,5,training/flip/0060_000000001.jpg,flip__0060,training,flip,1,2,1,0.9562987732048047,0.9848142451367379
75,5,testing/flip/0065_000000001.jpg,flip__0065,testing,flip,1,2,1,0.9612293123927835,0.9789684605207608
76,5,training/notflip/0001_000000001.jpg,notflip__0001,training,notflip,1,2,1,0.9826589257390945,0.9999993053355317
77,5,testing/notflip/0007_000000010.jpg,notflip__0007,testing,notflip,1,2,1,0.9538837618685018,0.9740768781811335
78,5,training/notflip/0039_000000021.jpg,notflip__0039,training,notflip,1,2,1,0.9531962278488952,0.9835544427522833
79,5,testing/notflip/0039_000000026.jpg,notflip__0039,testing,notflip,1,2,1,0.9574397423193739,0.988232084465159
80,5,training/notflip/0049_000000007.jpg,notflip__0049,training,notflip,1,2,1,0.9569970218145234,0.9843631614505248
81,5,training/notflip/0057_000000004.jpg,notflip__0057,training,notflip,1,2,1,0.9552793108845102,0.9606475318509026
82,5,training/notflip/0028_000000026.jpg,notflip__0028,training,notflip,1,1,1,0.9511846679939436,0.9914111211666731
83,5,training/notflip/0052_000000017.jpg,notflip__0052,training,notflip,1,1,1,0.9602255107545089,0.9785265861258912
84,4,training/flip/0048_000000009.jpg,flip__0048,training,flip,1,2,1,0.9588205093366464,0.9669502279531073
85,4,training/flip/0058_000000001.jpg,flip__0058,training,flip,1,2,1,0.9617664105209679,0.973076461903649
86,4,testing/flip/0060_000000008.jpg,flip__0060,testing,flip,1,2,1,0.9569803374266187,0.9647127169426601
87,4,training/notflip/0004_000000003.jpg,notflip__0004,training,notflip,1,2,1,0.9540592129802563,0.974960249601995
88,4,testing/notflip/0016_000000014.jpg,notflip__0016,testing,notflip,1,2,1,0.9523593790200995,0.9721824188717751
89,4,testing/notflip/0019_000000002.jpg,notflip__0019,testing,notflip,1,2,1,0.9580388494231489,0.9904892174677402
90,4,training/notflip/0028_000000002.jpg,notflip__0028,training,notflip,1,2,1,0.965969618334779,0.9720136966456276
91,4,testing/notflip/0046_000000003.jpg,notflip__0046,testing,notflip,1,2,1,0.9517473394605247,0.9860493547457598
92,4,training/flip/0028_000000001.jpg,flip__0028,training,flip,1,1,1,0.9548516729872976,0.9795837727042761
93,4,training/notflip/0007_000000015.jpg,notflip__0007,training,notflip,1,1,1,0.9698348550232694,0.9936504909515989
94,4,training/notflip/0007_000000027.jpg,notflip__0007,training,notflip,1,1,1,0.9548390596092587,0.9852488870738859
95,4,training/notflip/0011_000000003.jpg,notflip__0011,training,notflip,1,1,1,0.9574420777910613,0.9729018556597013
96,4,training/notflip/0043_000000011.jpg,notflip__0043,training,notflip,1,1,1,0.9505217052146543,0.9709798966674275
97,4,training/notflip/0052_000000007.jpg,notflip__0052,training,notflip,1,1,1,0.9537167389054694,0.9770009646681053
98,3,training/flip/0003_000000004.jpg,flip__0003,training,flip,1,2,1,0.9540324730226981,0.9998818396192414
99,3,training/flip/0004_000000005.jpg,flip__0004,training,flip,1,2,1,0.9507484448085461,0.9619966445990641
100,3,training/flip/0016_000000002.jpg,flip__0016,training,flip,1,2,1,0.9599739183245775,0.9700689355323203
101,3,training/flip/0038_000000014.jpg,flip__0038,training,flip,1,2,1,0.9584160723532387,0.9704708244014699
102,3,testing/flip/0041_000000015.jpg,flip__0041,testing,flip,1,2,1,0.9524380615460305,0.9580589492839642
103,3,training/flip/0056_000000015.jpg,flip__0056,training,flip,1,2,1,0.9519174602755677,0.9711784186246121
104,3,training/notflip/0001_000000013.jpg,notflip__0001,training,notflip,1,2,1,0.9514015060091181,0.962627878375872
105,3,testing/notflip/0001_000000024.jpg,notflip__0001,testing,notflip,1,2,1,0.9612270597377018,0.9846270316765293
106,3,testing/notflip/0003_000000025.jpg,notflip__0003,testing,notflip,1,2,1,0.9808445930076485,0.9912244513163142
107,3,training/notflip/0004_000000022.jpg,notflip__0004,training,notflip,1,2,1,0.9630168201930153,0.9670558198482401
108,3,testing/notflip/0006_000000025.jpg,notflip__0006,testing,notflip,1,2,1,0.9580027534897989,0.9998726060973375
109,3,training/notflip/0011_000000025.jpg,notflip__0011,training,notflip,1,2,1,0.9564095739958889,0.9633392986337628
110,3,testing/notflip/0015_000000003.jpg,notflip__0015,testing,notflip,1,1,1,0.9546235714836377,0.9574299557125401
111,3,testing/notflip/0016_000000001.jpg,notflip__0016,testing,notflip,1,2,1,0.9999829684084407,0.9999962701102061
112,3,training/notflip/0032_000000001.jpg,notflip__0032,training,notflip,1,2,1,0.9556100905330828,0.9649541914793112
113,3,training/notflip/0032_000000028.jpg,notflip__0032,training,notflip,1,2,1,0.9662498643097885,0.9761987007834163
114,3,training/notflip/0041_000000009.jpg,notflip__0041,training,notflip,1,2,1,0.9547337166059651,0.9733048812804315
115,3,training/notflip/0043_000000021.jpg,notflip__0043,training,notflip,1,2,1,0.962736816448752,0.9690427837654778
116,3,testing/notflip/0045_000000028.jpg,notflip__0045,testing,notflip,1,2,1,0.9583521628720626,0.9865301239026779
117,3,training/flip/0003_000000001.jpg,flip__0003,training,flip,1,1,1,0.9570498546896203,0.9999095965030443
118,3,training/flip/0008_000000002.jpg,flip__0008,training,flip,1,1,1,0.9504816787449728,0.9669709719879214
119,3,training/flip/0009_000000011.jpg,flip__0009,training,flip,1,1,1,0.954592571200102,0.961260841297219
120,3,training/flip/0030_000000023.jpg,flip__0030,training,flip,1,1,1,0.9650847943306954,0.9733094075629268
121,3,training/flip/0041_000000011.jpg,flip__0041,training,flip,1,1,1,0.9562698871815273,0.9613647926178435
122,3,training/flip/0059_000000003.jpg,flip__0059,training,flip,1,1,1,0.9534660644710057,0.9547269705579381
123,3,training/notflip/0001_000000006.jpg,notflip__0001,training,notflip,1,1,1,0.9510170827871373,0.9786144832491475
124,3,training/notflip/0001_000000028.jpg,notflip__0001,training,notflip,1,1,1,0.9602286703175459,0.9913551648770687
125,3,training/notflip/0007_000000001.jpg,notflip__0007,training,notflip,1,1,1,0.9505868103268722,0.9512891009319776
126,3,training/notflip/0023_000000005.jpg,notflip__0023,training,notflip,1,1,1,0.9524452591689802,0.9700974075355424
127,3,training/notflip/0026_000000001.jpg,notflip__0026,training,notflip,1,1,1,0.9550505617525186,0.9784438970662158
128,3,training/notflip/0029_000000010.jpg,notflip__0029,training,notflip,1,1,1,0.9650172973409703,0.9682925754516086
129,3,training/notflip/0030_000000013.jpg,notflip__0030,training,notflip,1,1,1,0.9625034281234806,0.9998859037679823
130,3,training/notflip/0036_000000008.jpg,notflip__0036,training,notflip,1,1,1,0.9513371230484139,0.9738708728878889
131,3,training/notflip/0040_000000008.jpg,notflip__0040,training,notflip,1,1,1,0.9605226778699221,0.9766136489310011
132,3,training/notflip/0044_000000011.jpg,notflip__0044,training,notflip,1,1,1,0.9588615398745239,0.9707417685998975
133,3,training/notflip/0049_000000003.jpg,notflip__0049,training,notflip,1,1,1,0.9547866667032021,0.9591072980650076
134,3,training/notflip/0052_000000011.jpg,notflip__0052,training,notflip,1,1,1,0.9589683070349192,0.970408653381765
135,3,training/notflip/0053_000000012.jpg,notflip__0053,training,notflip,1,1,1,0.9552090890298326,0.9645780550544579
136,3,training/notflip/0057_000000024.jpg,notflip__0057,training,notflip,1,1,1,0.9707032954253402,0.9815895399482544
137,3,training/notflip/0057_000000028.jpg,notflip__0057,training,notflip,1,1,1,0.9762685129758754,0.995061533189785
138,2,testing/flip/0008_000000007.jpg,flip__0008,testing,flip,1,2,1,0.9548239484015331,0.9548239484015331
139,2,testing/flip/0016_000000008.jpg,flip__0016,testing,flip,1,2,1,0.999897405840798,0.999897405840798
140,2,testing/flip/0036_000000008.jpg,flip__0036,testing,flip,1,1,1,0.9563280454250164,0.9563280454250164
141,2,testing/flip/0038_000000032.jpg,flip__0038,testing,flip,1,2,1,0.9554589491399138,0.9554589491399138
142,2,testing/flip/0039_000000009.jpg,flip__0039,testing,flip,1,2,1,0.9514335414283391,0.9514335414283391
143,2,training/flip/0042_000000001.jpg,flip__0042,training,flip,1,2,1,0.9699981172203128,0.9699981172203128
144,2,testing/flip/0054_000000010.jpg,flip__0054,testing,flip,1,1,1,0.9998719145079675,0.9998719145079675
145,2,testing/flip/0060_000000006.jpg,flip__0060,testing,flip,1,2,1,0.9685586102317276,0.9685586102317276
146,2,training/flip/0060_000000012.jpg,flip__0060,training,flip,1,2,1,0.9541224433011489,0.9541224433011489
147,2,training/flip/0063_000000010.jpg,flip__0063,training,flip,1,2,1,0.9998884255383078,0.9998884255383078
148,2,training/flip/0063_000000013.jpg,flip__0063,training,flip,1,2,1,0.9999229441844223,0.9999229441844223
149,2,training/notflip/0001_000000008.jpg,notflip__0001,training,notflip,1,2,1,0.9776903388585384,0.9776903388585384
150,2,training/notflip/0006_000000020.jpg,notflip__0006,training,notflip,1,2,1,0.9998864607736834,0.9998864607736834
151,2,testing/notflip/0006_000000023.jpg,notflip__0006,testing,notflip,1,2,1,0.9998785265555934,0.9998785265555934
152,2,testing/notflip/0006_000000028.jpg,notflip__0006,testing,notflip,1,1,1,0.9998784102787728,0.9998784102787728
153,2,testing/notflip/0026_000000014.jpg,notflip__0026,testing,notflip,1,2,1,0.9508061116833416,0.9508061116833416
154,2,training/notflip/0042_000000029.jpg,notflip__0042,training,notflip,1,2,1,0.9817519650738538,0.9817519650738538
155,2,testing/notflip/0045_000000012.jpg,notflip__0045,testing,notflip,1,1,1,0.9567489540848295,0.9567489540848295
156,2,testing/notflip/0051_000000002.jpg,notflip__0051,testing,notflip,1,2,1,0.9614580415372886,0.9614580415372886
157,2,training/flip/0001_000000010.jpg,flip__0001,training,flip,1,1,1,0.9998274610773036,0.9998274610773036
158,2,training/flip/0009_000000003.jpg,flip__0009,training,flip,1,1,1,0.9635595602780289,0.9635595602780289
159,2,training/flip/0016_000000011.jpg,flip__0016,training,flip,1,1,1,0.9999062538578886,0.9999062538578886
160,2,training/flip/0016_000000014.jpg,flip__0016,training,flip,1,1,1,0.9998384066762658,0.9998384066762658
161,2,training/flip/0016_000000016.jpg,flip__0016,training,flip,1,1,1,0.9998548472591527,0.9998548472591527
162,2,training/flip/0016_000000019.jpg,flip__0016,training,flip,1,1,1,0.9998638684372531,0.9998638684372531
163,2,training/flip/0019_000000012.jpg,flip__0019,training,flip,1,1,1,0.9626110077288283,0.9626110077288283
164,2,training/flip/0023_000000003.jpg,flip__0023,training,flip,1,1,1,0.9535554043854436,0.9535554043854436
165,2,training/flip/0023_000000005.jpg,flip__0023,training,flip,1,1,1,0.9683018622726189,0.9683018622726189
166,2,training/flip/0031_000000014.jpg,flip__0031,training,flip,1,1,1,0.9614565837481355,0.9614565837481355
167,2,training/flip/0038_000000011.jpg,flip__0038,training,flip,1,1,1,0.9543676742062615,0.9543676742062615
168,2,training/flip/0053_000000001.jpg,flip__0053,training,flip,1,1,1,0.9999726314799396,0.9999726314799396
169,2,training/flip/0054_000000008.jpg,flip__0054,training,flip,1,1,1,0.9998727609141643,0.9998727609141643
170,2,training/flip/0055_000000029.jpg,flip__0055,training,flip,1,1,1,0.9998853742591414,0.9998853742591414
171,2,training/flip/0059_000000001.jpg,flip__0059,training,flip,1,1,1,0.9711894297708767,0.9711894297708767
172,2,training/flip/0059_000000006.jpg,flip__0059,training,flip,1,1,1,0.9545562840366205,0.9545562840366205
173,2,training/notflip/0001_000000007.jpg,notflip__0001,training,notflip,1,1,1,0.9587485674079016,0.9587485674079016
174,2,training/notflip/0010_000000001.jpg,notflip__0010,training,notflip,1,1,1,0.9524959627563401,0.9524959627563401
175,2,training/notflip/0011_000000029.jpg,notflip__0011,training,notflip,1,1,1,0.9839773248044138,0.9839773248044138
176,2,training/notflip/0016_000000004.jpg,notflip__0016,training,notflip,1,1,1,0.965843716461288,0.965843716461288
177,2,training/notflip/0026_000000016.jpg,notflip__0026,training,notflip,1,1,1,0.950931042253608,0.950931042253608
178,2,training/notflip/0029_000000015.jpg,notflip__0029,training,notflip,1,1,1,0.957068596048973,0.957068596048973
179,2,training/notflip/0030_000000016.jpg,notflip__0030,training,notflip,1,1,1,0.9998838452786762,0.9998838452786762
180,2,training/notflip/0031_000000002.jpg,notflip__0031,training,notflip,1,1,1,0.9559701698045896,0.9559701698045896
181,2,training/notflip/0038_000000001.jpg,notflip__0038,training,notflip,1,1,1,0.9746187498630126,0.9746187498630126
182,2,training/notflip/0038_000000003.jpg,notflip__0038,training,notflip,1,1,1,0.9521191014110056,0.9521191014110056
183,2,training/notflip/0039_000000014.jpg,notflip__0039,training,notflip,1,1,1,0.9508721428197761,0.9508721428197761
184,2,training/notflip/0039_000000016.jpg,notflip__0039,training,notflip,1,1,1,0.9593623708937139,0.9593623708937139
185,2,training/notflip/0045_000000014.jpg,notflip__0045,training,notflip,1,1,1,0.9597435460285685,0.9597435460285685
186,2,training/notflip/0046_000000001.jpg,notflip__0046,training,notflip,1,1,1,0.964019347402444,0.964019347402444
187,2,training/notflip/0050_000000003.jpg,notflip__0050,training,notflip,1,1,1,0.9702539213277988,0.9702539213277988
188,2,training/notflip/0054_000000014.jpg,notflip__0054,training,notflip,1,1,1,0.9506090704889281,0.9506090704889281
189,2,training/notflip/0056_000000009.jpg,notflip__0056,training,notflip,1,1,1,0.9822960935316609,0.9822960935316609
