i,j,ssim,dhash,phash,bucket,path_a,path_b,sequence_a,sequence_b,split_a,split_b,label_a,label_b,frame_a,frame_b
280,1715,0.9998884255383078,0,0,same_sequence_cross_split,testing/flip/0063_000000011.jpg,training/flip/0063_000000010.jpg,flip__0063,flip__0063,testing,training,flip,flip,11,10
325,1898,0.9998864607736834,0,0,same_sequence_cross_split,testing/notflip/0006_000000021.jpg,training/notflip/0006_000000020.jpg,notflip__0006,notflip__0006,testing,training,notflip,notflip,21,20
2296,2297,0.9998859037679823,1,0,same_sequence_same_split,training/notflip/0030_000000014.jpg,training/notflip/0030_000000015.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,14,15
1551,1552,0.9998853742591414,0,0,same_sequence_same_split,training/flip/0055_000000029.jpg,training/flip/0055_000000030.jpg,flip__0055,flip__0055,training,training,flip,flip,29,30
2298,2299,0.9998838452786762,0,0,same_sequence_same_split,training/notflip/0030_000000016.jpg,training/notflip/0030_000000017.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,16,17
5,625,0.9998818396192414,0,0,same_sequence_cross_split,testing/flip/0003_000000005.jpg,training/flip/0003_000000006.jpg,flip__0003,flip__0003,testing,training,flip,flip,5,6
1498,1499,0.9998815299736666,0,0,same_sequence_same_split,training/flip/0053_000000004.jpg,training/flip/0053_000000005.jpg,flip__0053,flip__0053,training,training,flip,flip,4,5
326,1900,0.9998785265555934,0,0,same_sequence_cross_split,testing/notflip/0006_000000023.jpg,training/notflip/0006_000000024.jpg,notflip__0006,notflip__0006,testing,training,notflip,notflip,23,24
329,330,0.9998784102787728,0,0,same_sequence_same_split,testing/notflip/0006_000000028.jpg,testing/notflip/0006_000000029.jpg,notflip__0006,notflip__0006,testing,testing,notflip,notflip,28,29
1521,1522,0.9998727609141643,0,0,same_sequence_same_split,training/flip/0054_000000008.jpg,training/flip/0054_000000009.jpg,flip__0054,flip__0054,training,training,flip,flip,8,9
327,1901,0.9998726060973375,0,0,same_sequence_cross_split,testing/notflip/0006_000000025.jpg,training/notflip/0006_000000026.jpg,notflip__0006,notflip__0006,testing,training,notflip,notflip,25,26
229,230,0.9998719145079675,0,0,same_sequence_same_split,testing/flip/0054_000000010.jpg,testing/flip/0054_000000011.jpg,flip__0054,flip__0054,testing,testing,flip,flip,10,11
908,909,0.9998638684372531,0,0,same_sequence_same_split,training/flip/0016_000000019.jpg,training/flip/0016_000000020.jpg,flip__0016,flip__0016,training,training,flip,flip,19,20
905,906,0.9998548472591527,0,0,same_sequence_same_split,training/flip/0016_000000016.jpg,training/flip/0016_000000017.jpg,flip__0016,flip__0016,training,training,flip,flip,16,17
2217,2218,0.9998450250847513,0,0,same_sequence_same_split,training/notflip/0027_000000006.jpg,training/notflip/0027_000000007.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,6,7
903,904,0.9998384066762658,0,0,same_sequence_same_split,training/flip/0016_000000014.jpg,training/flip/0016_000000015.jpg,flip__0016,flip__0016,training,training,flip,flip,14,15
597,598,0.9998274610773036,0,0,same_sequence_same_split,training/flip/0001_000000010.jpg,training/flip/0001_000000011.jpg,flip__0001,flip__0001,training,training,flip,flip,10,11
6,626,0.9998233839224074,0,0,same_sequence_cross_split,testing/flip/0003_000000008.jpg,training/flip/0003_000000007.jpg,flip__0003,flip__0003,testing,training,flip,flip,8,7
2938,2939,0.9970968408155262,0,2,same_sequence_same_split,training/notflip/0056_000000028.jpg,training/notflip/0056_000000029.jpg,notflip__0056,notflip__0056,training,training,notflip,notflip,28,29
546,2734,0.9970116193114698,2,0,same_sequence_cross_split,testing/notflip/0048_000000025.jpg,training/notflip/0048_000000024.jpg,notflip__0048,notflip__0048,testing,training,notflip,notflip,25,24
370,2094,0.9970073185143005,0,0,same_sequence_cross_split,testing/notflip/0019_000000027.jpg,training/notflip/0019_000000026.jpg,notflip__0019,notflip__0019,testing,training,notflip,notflip,27,26
479,2467,0.9967931196186194,1,0,same_sequence_cross_split,testing/notflip/0037_000000028.jpg,training/notflip/0037_000000027.jpg,notflip__0037,notflip__0037,testing,training,notflip,notflip,28,27
552,2751,0.9962042130470731,0,0,same_sequence_cross_split,testing/notflip/0049_000000018.jpg,training/notflip/0049_000000017.jpg,notflip__0049,notflip__0049,testing,training,notflip,notflip,18,17
2448,2449,0.996179718540195,0,0,same_sequence_same_split,training/notflip/0036_000000026.jpg,training/notflip/0036_000000027.jpg,notflip__0036,notflip__0036,training,training,notflip,notflip,26,27
1801,1802,0.9960613302167364,0,0,same_sequence_same_split,training/notflip/0002_000000023.jpg,training/notflip/0002_000000024.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,23,24
1797,1798,0.9959446849042036,0,0,same_sequence_same_split,training/notflip/0002_000000019.jpg,training/notflip/0002_000000020.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,19,20
2528,2529,0.9958804469593743,1,0,same_sequence_same_split,training/notflip/0040_000000020.jpg,training/notflip/0040_000000021.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,20,21
2626,2627,0.9957914634836027,1,2,same_sequence_same_split,training/notflip/0044_000000015.jpg,training/notflip/0044_000000016.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,15,16
297,1789,0.9953842869935804,1,0,same_sequence_cross_split,testing/notflip/0002_000000008.jpg,training/notflip/0002_000000009.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,8,9
2957,2958,0.9951759372109249,0,2,same_sequence_same_split,training/notflip/0057_000000020.jpg,training/notflip/0057_000000021.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,20,21
2981,2982,0.9951665708609947,0,0,same_sequence_same_split,training/notflip/0058_000000022.jpg,training/notflip/0058_000000023.jpg,notflip__0058,notflip__0058,training,training,notflip,notflip,22,23
2489,2490,0.9950915249999831,1,0,same_sequence_same_split,training/notflip/0038_000000028.jpg,training/notflip/0038_000000029.jpg,notflip__0038,notflip__0038,training,training,notflip,notflip,28,29
384,385,0.9950870853095858,2,0,same_sequence_same_split,testing/notflip/0024_000000006.jpg,testing/notflip/0024_000000007.jpg,notflip__0024,notflip__0024,testing,testing,notflip,notflip,6,7
584,2938,0.9950738855870298,0,0,same_sequence_cross_split,testing/notflip/0056_000000027.jpg,training/notflip/0056_000000028.jpg,notflip__0056,notflip__0056,testing,training,notflip,notflip,27,28
2188,2189,0.9950685393674893,0,0,same_sequence_same_split,training/notflip/0025_000000029.jpg,training/notflip/0025_000000030.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,29,30
2964,2965,0.995061533189785,0,0,same_sequence_same_split,training/notflip/0057_000000029.jpg,training/notflip/0057_000000030.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,29,30
542,543,0.9950366324937965,0,0,same_sequence_same_split,testing/notflip/0047_000000024.jpg,testing/notflip/0047_000000025.jpg,notflip__0047,notflip__0047,testing,testing,notflip,notflip,24,25
2703,2704,0.9950239590573295,0,0,same_sequence_same_split,training/notflip/0047_000000019.jpg,training/notflip/0047_000000020.jpg,notflip__0047,notflip__0047,training,training,notflip,notflip,19,20
2554,2555,0.9950049191174734,0,0,same_sequence_same_split,training/notflip/0041_000000024.jpg,training/notflip/0041_000000025.jpg,notflip__0041,notflip__0041,training,training,notflip,notflip,24,25
2539,2540,0.9948956176189987,0,0,same_sequence_same_split,training/notflip/0041_000000002.jpg,training/notflip/0041_000000004.jpg,notflip__0041,notflip__0041,training,training,notflip,notflip,2,4
502,2540,0.9948945492193929,0,0,same_sequence_cross_split,testing/notflip/0041_000000003.jpg,training/notflip/0041_000000004.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,3,4
501,2540,0.9948851471149972,0,0,same_sequence_cross_split,testing/notflip/0041_000000001.jpg,training/notflip/0041_000000004.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,1,4
2634,2635,0.9948143322213201,3,0,same_sequence_same_split,training/notflip/0044_000000023.jpg,training/notflip/0044_000000024.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,23,24
1953,1954,0.9947932823583289,0,0,same_sequence_same_split,training/notflip/0008_000000029.jpg,training/notflip/0008_000000030.jpg,notflip__0008,notflip__0008,training,training,notflip,notflip,29,30
2987,2988,0.9947118704824682,0,0,same_sequence_same_split,training/notflip/0058_000000029.jpg,training/notflip/0058_000000030.jpg,notflip__0058,notflip__0058,training,training,notflip,notflip,29,30
375,2119,0.9946346566897175,0,2,same_sequence_cross_split,testing/notflip/0021_000000024.jpg,training/notflip/0021_000000025.jpg,notflip__0021,notflip__0021,testing,training,notflip,notflip,24,25
2209,2210,0.9944459253331591,1,0,same_sequence_same_split,training/notflip/0026_000000025.jpg,training/notflip/0026_000000026.jpg,notflip__0026,notflip__0026,training,training,notflip,notflip,25,26
2527,2528,0.9942529437938562,0,0,same_sequence_same_split,training/notflip/0040_000000019.jpg,training/notflip/0040_000000020.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,19,20
2627,2628,0.9942399642474944,1,0,same_sequence_same_split,training/notflip/0044_000000016.jpg,training/notflip/0044_000000017.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,16,17
1798,1799,0.994207779682349,1,0,same_sequence_same_split,training/notflip/0002_000000020.jpg,training/notflip/0002_000000021.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,20,21
2862,2863,0.994184374606914,0,0,same_sequence_same_split,training/notflip/0053_000000028.jpg,training/notflip/0053_000000029.jpg,notflip__0053,notflip__0053,training,training,notflip,notflip,28,29
2540,2541,0.9941362965108737,0,0,same_sequence_same_split,training/notflip/0041_000000004.jpg,training/notflip/0041_000000005.jpg,notflip__0041,notflip__0041,training,training,notflip,notflip,4,5
395,396,0.9940569851545475,0,0,same_sequence_same_split,testing/notflip/0025_000000021.jpg,testing/notflip/0025_000000022.jpg,notflip__0025,notflip__0025,testing,testing,notflip,notflip,21,22
2101,2102,0.99390318714875,1,2,same_sequence_same_split,training/notflip/0020_000000005.jpg,training/notflip/0020_000000006.jpg,notflip__0020,notflip__0020,training,training,notflip,notflip,5,6
2632,2633,0.9938916832898586,0,0,same_sequence_same_split,training/notflip/0044_000000021.jpg,training/notflip/0044_000000022.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,21,22
2530,2531,0.9938739135906826,1,0,same_sequence_same_split,training/notflip/0040_000000022.jpg,training/notflip/0040_000000023.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,22,23
475,2459,0.9938715353593087,1,0,same_sequence_cross_split,testing/notflip/0037_000000015.jpg,training/notflip/0037_000000016.jpg,notflip__0037,notflip__0037,testing,training,notflip,notflip,15,16
2630,2631,0.9938680646988997,1,0,same_sequence_same_split,training/notflip/0044_000000019.jpg,training/notflip/0044_000000020.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,19,20
395,2182,0.9938112977437944,1,0,same_sequence_cross_split,testing/notflip/0025_000000021.jpg,training/notflip/0025_000000020.jpg,notflip__0025,notflip__0025,testing,training,notflip,notflip,21,20
2306,2307,0.9937717376278051,1,0,same_sequence_same_split,training/notflip/0030_000000029.jpg,training/notflip/0030_000000030.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,29,30
2151,2152,0.993770155125155,1,0,same_sequence_same_split,training/notflip/0024_000000010.jpg,training/notflip/0024_000000011.jpg,notflip__0024,notflip__0024,training,training,notflip,notflip,10,11
301,302,0.9936689341262985,0,0,same_sequence_same_split,testing/notflip/0002_000000027.jpg,testing/notflip/0002_000000028.jpg,notflip__0002,notflip__0002,testing,testing,notflip,notflip,27,28
1916,1917,0.9936504909515989,1,0,same_sequence_same_split,training/notflip/0007_000000015.jpg,training/notflip/0007_000000016.jpg,notflip__0007,notflip__0007,training,training,notflip,notflip,15,16
451,2373,0.99362970337291,0,0,same_sequence_cross_split,testing/notflip/0033_000000027.jpg,training/notflip/0033_000000028.jpg,notflip__0033,notflip__0033,testing,training,notflip,notflip,27,28
2555,2556,0.9935767216440263,1,2,same_sequence_same_split,training/notflip/0041_000000025.jpg,training/notflip/0041_000000026.jpg,notflip__0041,notflip__0041,training,training,notflip,notflip,25,26
429,2305,0.9935494810540054,1,0,same_sequence_cross_split,testing/notflip/0030_000000028.jpg,training/notflip/0030_000000027.jpg,notflip__0030,notflip__0030,testing,training,notflip,notflip,28,27
596,2984,0.9934311033831191,1,0,same_sequence_cross_split,testing/notflip/0058_000000025.jpg,training/notflip/0058_000000026.jpg,notflip__0058,notflip__0058,testing,training,notflip,notflip,25,26
2425,2426,0.9933223594427957,0,0,same_sequence_same_split,training/notflip/0035_000000029.jpg,training/notflip/0035_000000030.jpg,notflip__0035,notflip__0035,training,training,notflip,notflip,29,30
2706,2707,0.9933110802844478,0,0,same_sequence_same_split,training/notflip/0047_000000022.jpg,training/notflip/0047_000000023.jpg,notflip__0047,notflip__0047,training,training,notflip,notflip,22,23
593,2980,0.9932601373953746,0,0,same_sequence_cross_split,testing/notflip/0058_000000018.jpg,training/notflip/0058_000000019.jpg,notflip__0058,notflip__0058,testing,training,notflip,notflip,18,19
2629,2630,0.9931669085284854,2,0,same_sequence_same_split,training/notflip/0044_000000018.jpg,training/notflip/0044_000000019.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,18,19
1917,1918,0.9930724220597427,0,0,same_sequence_same_split,training/notflip/0007_000000016.jpg,training/notflip/0007_000000017.jpg,notflip__0007,notflip__0007,training,training,notflip,notflip,16,17
2183,2184,0.9930540088904894,1,2,same_sequence_same_split,training/notflip/0025_000000023.jpg,training/notflip/0025_000000024.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,23,24
406,2221,0.9930082694331607,0,0,same_sequence_cross_split,testing/notflip/0027_000000010.jpg,training/notflip/0027_000000011.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,10,11
436,2319,0.9929797372712329,2,0,same_sequence_cross_split,testing/notflip/0031_000000019.jpg,training/notflip/0031_000000018.jpg,notflip__0031,notflip__0031,testing,training,notflip,notflip,19,18
2986,2987,0.9928828308347847,0,0,same_sequence_same_split,training/notflip/0058_000000028.jpg,training/notflip/0058_000000029.jpg,notflip__0058,notflip__0058,training,training,notflip,notflip,28,29
510,2562,0.9926534414200511,1,0,same_sequence_cross_split,testing/notflip/0041_000000034.jpg,training/notflip/0041_000000033.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,34,33
467,2449,0.9925383698035556,0,0,same_sequence_cross_split,testing/notflip/0036_000000028.jpg,training/notflip/0036_000000027.jpg,notflip__0036,notflip__0036,testing,training,notflip,notflip,28,27
397,2184,0.9924815884358819,0,0,same_sequence_cross_split,testing/notflip/0025_000000025.jpg,training/notflip/0025_000000024.jpg,notflip__0025,notflip__0025,testing,training,notflip,notflip,25,24
2531,2532,0.9924653058556079,1,0,same_sequence_same_split,training/notflip/0040_000000023.jpg,training/notflip/0040_000000024.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,23,24
2156,2157,0.9923993905294027,2,2,same_sequence_same_split,training/notflip/0024_000000015.jpg,training/notflip/0024_000000016.jpg,notflip__0024,notflip__0024,training,training,notflip,notflip,15,16
2936,2937,0.9922576443240448,0,0,same_sequence_same_split,training/notflip/0056_000000025.jpg,training/notflip/0056_000000026.jpg,notflip__0056,notflip__0056,training,training,notflip,notflip,25,26
368,369,0.9921759140561693,0,0,same_sequence_same_split,testing/notflip/0019_000000024.jpg,testing/notflip/0019_000000025.jpg,notflip__0019,notflip__0019,testing,testing,notflip,notflip,24,25
2726,2727,0.9920552503135083,1,0,same_sequence_same_split,training/notflip/0048_000000016.jpg,training/notflip/0048_000000017.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,16,17
2633,2634,0.9920498643449155,1,2,same_sequence_same_split,training/notflip/0044_000000022.jpg,training/notflip/0044_000000023.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,22,23
511,2564,0.9920263266202952,1,2,same_sequence_cross_split,testing/notflip/0041_000000036.jpg,training/notflip/0041_000000037.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,36,37
531,2657,0.9919933914685269,0,0,same_sequence_cross_split,testing/notflip/0045_000000022.jpg,training/notflip/0045_000000023.jpg,notflip__0045,notflip__0045,testing,training,notflip,notflip,22,23
376,2119,0.9919591441120074,0,0,same_sequence_cross_split,testing/notflip/0021_000000026.jpg,training/notflip/0021_000000025.jpg,notflip__0021,notflip__0021,testing,training,notflip,notflip,26,25
2933,2934,0.9919558545455959,0,0,same_sequence_same_split,training/notflip/0056_000000020.jpg,training/notflip/0056_000000021.jpg,notflip__0056,notflip__0056,training,training,notflip,notflip,20,21
297,1788,0.9918817773815573,0,0,same_sequence_cross_split,testing/notflip/0002_000000008.jpg,training/notflip/0002_000000007.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,8,7
2776,2777,0.9918173146157108,0,2,same_sequence_same_split,training/notflip/0050_000000018.jpg,training/notflip/0050_000000019.jpg,notflip__0050,notflip__0050,training,training,notflip,notflip,18,19
2534,2535,0.9918072799421984,0,0,same_sequence_same_split,training/notflip/0040_000000026.jpg,training/notflip/0040_000000027.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,26,27
2109,2110,0.991727118900002,0,0,same_sequence_same_split,training/notflip/0020_000000014.jpg,training/notflip/0020_000000015.jpg,notflip__0020,notflip__0020,training,training,notflip,notflip,14,15
1852,1853,0.991665938954726,4,0,same_sequence_same_split,training/notflip/0004_000000030.jpg,training/notflip/0004_000000031.jpg,notflip__0004,notflip__0004,training,training,notflip,notflip,30,31
2732,2733,0.9915942977999433,3,2,same_sequence_same_split,training/notflip/0048_000000022.jpg,training/notflip/0048_000000023.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,22,23
1854,1855,0.9914768452883951,0,0,same_sequence_same_split,training/notflip/0004_000000032.jpg,training/notflip/0004_000000033.jpg,notflip__0004,notflip__0004,training,training,notflip,notflip,32,33
2261,2262,0.9914111211666731,0,0,same_sequence_same_split,training/notflip/0028_000000027.jpg,training/notflip/0028_000000028.jpg,notflip__0028,notflip__0028,training,training,notflip,notflip,27,28
384,2148,0.9913909220848794,2,0,same_sequence_cross_split,testing/notflip/0024_000000006.jpg,training/notflip/0024_000000005.jpg,notflip__0024,notflip__0024,testing,training,notflip,notflip,6,5
367,2085,0.9913756863736266,0,0,same_sequence_cross_split,testing/notflip/0019_000000015.jpg,training/notflip/0019_000000014.jpg,notflip__0019,notflip__0019,testing,training,notflip,notflip,15,14
1781,1782,0.9913551648770687,2,0,same_sequence_same_split,training/notflip/0001_000000028.jpg,training/notflip/0001_000000029.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,28,29
525,2638,0.9913441855305646,0,0,same_sequence_cross_split,testing/notflip/0044_000000027.jpg,training/notflip/0044_000000028.jpg,notflip__0044,notflip__0044,testing,training,notflip,notflip,27,28
2219,2220,0.9913411005741563,0,2,same_sequence_same_split,training/notflip/0027_000000008.jpg,training/notflip/0027_000000009.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,8,9
372,2106,0.9913073348238487,1,2,same_sequence_cross_split,testing/notflip/0020_000000010.jpg,training/notflip/0020_000000011.jpg,notflip__0020,notflip__0020,testing,training,notflip,notflip,10,11
305,1828,0.9912244513163142,2,0,same_sequence_cross_split,testing/notflip/0003_000000025.jpg,training/notflip/0003_000000026.jpg,notflip__0003,notflip__0003,testing,training,notflip,notflip,25,26
2881,2882,0.9911625147984406,0,2,same_sequence_same_split,training/notflip/0054_000000018.jpg,training/notflip/0054_000000019.jpg,notflip__0054,notflip__0054,training,training,notflip,notflip,18,19
403,2213,0.9911436866777997,1,0,same_sequence_cross_split,testing/notflip/0026_000000029.jpg,training/notflip/0026_000000030.jpg,notflip__0026,notflip__0026,testing,training,notflip,notflip,29,30
406,2220,0.9911086846695645,0,0,same_sequence_cross_split,testing/notflip/0027_000000010.jpg,training/notflip/0027_000000009.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,10,9
2488,2489,0.9910789946331344,1,0,same_sequence_same_split,training/notflip/0038_000000027.jpg,training/notflip/0038_000000028.jpg,notflip__0038,notflip__0038,training,training,notflip,notflip,27,28
1952,1953,0.9910784422242545,0,0,same_sequence_same_split,training/notflip/0008_000000028.jpg,training/notflip/0008_000000029.jpg,notflip__0008,notflip__0008,training,training,notflip,notflip,28,29
371,2101,0.9910689154549646,0,0,same_sequence_cross_split,testing/notflip/0020_000000004.jpg,training/notflip/0020_000000005.jpg,notflip__0020,notflip__0020,testing,training,notflip,notflip,4,5
2527,2529,0.991066693864678,1,0,same_sequence_same_split,training/notflip/0040_000000019.jpg,training/notflip/0040_000000021.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,19,21
2283,2284,0.9910308564861737,0,0,same_sequence_same_split,training/notflip/0029_000000028.jpg,training/notflip/0029_000000029.jpg,notflip__0029,notflip__0029,training,training,notflip,notflip,28,29
2185,2186,0.9909424386124883,0,2,same_sequence_same_split,training/notflip/0025_000000026.jpg,training/notflip/0025_000000027.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,26,27
2958,2959,0.9909194087415724,0,0,same_sequence_same_split,training/notflip/0057_000000021.jpg,training/notflip/0057_000000022.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,21,22
479,2468,0.9908952858745473,2,0,same_sequence_cross_split,testing/notflip/0037_000000028.jpg,training/notflip/0037_000000029.jpg,notflip__0037,notflip__0037,testing,training,notflip,notflip,28,29
2080,2081,0.9908600280269492,1,2,same_sequence_same_split,training/notflip/0019_000000008.jpg,training/notflip/0019_000000009.jpg,notflip__0019,notflip__0019,training,training,notflip,notflip,8,9
584,2939,0.9908223982476768,0,2,same_sequence_cross_split,testing/notflip/0056_000000027.jpg,training/notflip/0056_000000029.jpg,notflip__0056,notflip__0056,testing,training,notflip,notflip,27,29
2886,2887,0.9908199344654542,1,0,same_sequence_same_split,training/notflip/0054_000000025.jpg,training/notflip/0054_000000026.jpg,notflip__0054,notflip__0054,training,training,notflip,notflip,25,26
2786,2787,0.9908135514726232,0,0,same_sequence_same_split,training/notflip/0050_000000028.jpg,training/notflip/0050_000000029.jpg,notflip__0050,notflip__0050,training,training,notflip,notflip,28,29
2446,2447,0.9907738134077456,0,0,same_sequence_same_split,training/notflip/0036_000000023.jpg,training/notflip/0036_000000024.jpg,notflip__0036,notflip__0036,training,training,notflip,notflip,23,24
2676,2677,0.9906192969470149,1,0,same_sequence_same_split,training/notflip/0046_000000018.jpg,training/notflip/0046_000000019.jpg,notflip__0046,notflip__0046,training,training,notflip,notflip,18,19
2775,2776,0.9905985935850722,0,0,same_sequence_same_split,training/notflip/0050_000000017.jpg,training/notflip/0050_000000018.jpg,notflip__0050,notflip__0050,training,training,notflip,notflip,17,18
2490,2491,0.9905305566875596,1,0,same_sequence_same_split,training/notflip/0038_000000029.jpg,training/notflip/0038_000000030.jpg,notflip__0038,notflip__0038,training,training,notflip,notflip,29,30
2444,2445,0.9905042538910048,1,2,same_sequence_same_split,training/notflip/0036_000000021.jpg,training/notflip/0036_000000022.jpg,notflip__0036,notflip__0036,training,training,notflip,notflip,21,22
365,2076,0.9904892174677402,2,0,same_sequence_cross_split,testing/notflip/0019_000000004.jpg,training/notflip/0019_000000003.jpg,notflip__0019,notflip__0019,testing,training,notflip,notflip,4,3
1773,1774,0.9904657992783972,2,0,same_sequence_same_split,training/notflip/0001_000000019.jpg,training/notflip/0001_000000020.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,19,20
2631,2632,0.9904442175382169,1,0,same_sequence_same_split,training/notflip/0044_000000020.jpg,training/notflip/0044_000000021.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,20,21
2216,2217,0.9903743837145269,2,0,same_sequence_same_split,training/notflip/0027_000000005.jpg,training/notflip/0027_000000006.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,5,6
593,2979,0.9903606656211452,0,0,same_sequence_cross_split,testing/notflip/0058_000000018.jpg,training/notflip/0058_000000017.jpg,notflip__0058,notflip__0058,testing,training,notflip,notflip,18,17
